isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
Akın Sevgör,586eJg9tmYDLSahAhozZBo,Akın Sevgör,28714.0,26.0,
Akış Ka,1G2pAscZ2S0PJXnvsTz85l,Akış Ka,152.0,0.0,spoken word
akkaş,3JDcWYsBCZrFHCuZnIxL6f,Akkaş,3.0,0.0,
akrunant,3MNVGOXN9hyB29naX3rLEE,Akrunant,188.0,0.0,black metal
aksan,35vCEk68DtAxh7gDAzhoKK,Aksan,129651.0,56.0,turkish hip hop
Al'York,6ccuxnLDexwjjnCZbrdGtD,Al'york,4484.0,5.0,
alaaddin arslan,3D8RCJrexZEANd4Zdao8hk,Alaaddin Arslan,1.0,0.0,
alaaddin ergün,51ITZQjVmlvID80nNOhQdv,Alaaddin Ergün,107529.0,47.0,"turkish pop, arabesk"
alaaddin palandöken,1oO4ez9t3TuPlsY86r88vJ,Alaaddin Palandöken,1.0,0.0,
alaaddin şensoy,1gKBY6XhL0rdyeXLojOQgJ,Alaaddin Sensoy,738.0,5.0,arabesk
Alâeddin Şensoy,1zfTpkbMHrxCQz9aBREUsm,Alaeddin Şensoy,82.0,0.0,arabesk
alaeddin yavaşca,0EokPdygOXqTk2IBBRKfiC,Alaeddin Yavaşça,6554.0,14.0,ghazal
Alafsar Rahimov,0CthUitD9N8J7la8cG5sxI,Alafsar Rahimov,1663.0,11.0,
alan chehab quartet,6rzLAq0Iqo8bM9XvO2uCRY,Alan Chehab Quartet,57.0,0.0,
alara canay,4P7s6inSuKFazurFHLdkAp,Alara Canay,11.0,0.0,
Alara Serena,4ggPxt5YPNtQ1RgwKComXu,Alara Serena,1888.0,25.0,"turkish pop, turkish hip hop"
alaturca club,0fwNI3rKjhHtiDqngqNI3X,Alaturca Club,2753.0,22.0,turkish pop
alaturka mavzer,5wk9v6hNjG3NG5kxtV088w,Alaturka Mavzer,4598.0,10.0,turkish hip hop
albatros,0Rz6tP7fiKI0NQydB4eoSx,Albatros,1626.0,18.0,turkish hip hop
Albert Beger,6ryqywr4nc5Om8Q9tuMrVU,Albert Beger,182.0,2.0,"free jazz, indie jazz, avant-garde"
Alberto Hemsi,3NSQQu1b4v1wNnkR3wuIjY,Alberto Hemsi,1.0,0.0,
Aleem Bilal,1cCkoczPcHzIotDgE7M3XP,Aleem Bilal,0.0,0.0,
Alef High,7vHZzCPvFDCncSzSX5nUoI,Alef High,1566.0,21.0,turkish hip hop
Aleko Bacanos,7fVPy8eGlAwJ8uAAZGq4Wl,Aleko Bacanos,69.0,0.0,
Aleksandir,671aO7xxWHFDZ4Y115H89b,Aleksandir,39040.0,39.0,lo-fi house
Alem DM,23sggjv5xtKNDu1JOHs6jE,Alem DM,344.0,6.0,turkish hip hop
Alem-i Adastra,0SEAJj6CkQ2gUiy3dTVAzJ,Alem-i Adastra,2257.0,13.0,organic house
Alen Konakoğlu,5WbJS1sych2gpLHmc8vb6q,Alen Konakoğlu,34.0,0.0,
alexa moon,0reu4Za1Cx8bIoA2ejrshV,Alexa Moon,420.0,0.0,
Alexandros Mouzas,4pYXUKy2HQryyZflbi9sHe,Alexandros Mouzas,7.0,0.0,
aleyna kalaycıoğlu,3TKB1G75mSojFCZPks5KGJ,Aleyna Kalaycıoğlu,65765.0,49.0,turkish pop
Alhun Aydın,0XsL4tDQz7cPI8yyUguTlP,Alhun Aydin,121.0,0.0,
Ali and the Clouds,4RvaqCAeKu0wKQ8Sliz3AZ,Ali And The Clouds,57.0,2.0,free jazz
ali asker,7KBlV8iB540zc3uuNLNqLJ,Ali Asker,38371.0,28.0,arabesk
ali aşkın,1xYY9MMc2zDKOdKebtyV4g,Ali Askin,5.0,0.0,
Ali Aslan,6g7BO7KpBqoc3wIFUnAs1k,Ali Aslan,117.0,2.0,arabesk
ali ata dibek,1N5ClHLboM9QOTlgYqDUUm,Ali Ata Dibek,1.0,0.0,
Ali Atay,7elDqMmr52DP2CriVwGFyw,Ali Atay,306.0,24.0,
Ali Aydın,58vzskF49LqZBcP6xWN2L7,Ali Aydın,66.0,0.0,
ali ayhan,0OZPi92R5cr4byM7oQCfFa,Ali Ayhan,62.0,3.0,anatolian rock
Ali Bakgor,4Zdbr0JJj9SXMDJfus1mNs,Ali Bakgor,16835.0,45.0,"melodic techno, deep house"
ali balkan,6meO7Bbl5p7FEhP1vIcmFz,Ali Balkan,2.0,0.0,
ali barut,1vtaaQrdnRnaKI46LlQyYu,Ali Barut,81.0,0.0,
ali bektas,4VDZtPwjaRMtb7qc08MPE2,Ali Bektas,42.0,0.0,"sufi, contemporary classical"
ali biçim,2L8OPZ5ajaRQHx92TGC7Kc,Ali Biçim,18473.0,18.0,turkish hip hop
ali black,4I4D5hYW6bM8JMUWdmGshN,Ali Black,838.0,0.0,turkish hip hop
ali çetin,53cLReolHICvBDceb3Wgpb,Ali Çetin,63.0,0.0,anatolian rock
ali çetinkaya,4csAbeD0oDWoAyr1oVTJtu,Ali Çetinkaya,8.0,0.0,
Ali Chapo,2y87kmzGXuNRoOBKOnm41q,Ali Chapo,6104.0,45.0,turkish hip hop
ali darmar,6MhysO2hxLvKEerreXma9R,Ali Darmar,49.0,0.0,
Ali Demirel,76R6kjaePNoLHpu7QlDaf1,Ali Demirel,74.0,4.0,
ali doğan ergin,4xI4kYwfBQ5ahVzDpjThqI,Ali Doğan Ergin,47.0,1.0,sufi
Ali Doğan Gönültaş,0YYpxcWCP6dukgNfo8Gv98,Ali Doğan Gönültaş,9478.0,29.0,
ali emektar,4LpsQdGbXgovPRZEfhA1M4,Ali Emektar,1.0,1.0,
Ali Ercan,2ImZgTpRNM0kxTJQLu8j4c,Ali Ercan,7169.0,20.0,karadeniz folk
ali erel,3qtaNDitykRSPTzwwUcTVW,Ali Erel,612.0,5.0,
Ali Erenus,2MAibKwGRGDrwGDJAaJpXa,Ali Erenus,37.0,0.0,
ali ergün,2qdww9W6JlYykxtT2ls9Wd,Ali Ergün,8.0,0.0,arabesk
ali erköse,6rDePorUfDPxIFEyAc1WE8,Ali Erköse,2.0,0.0,
Ali Güçlü Şimşek,34BydVKsSEwGDvDuwIFQ57,Ali Güçlü Şimşek,452.0,1.0,
ali güven,3CPiYdSDYnyKdY5vhWNaYq,Ali Güven,37244.0,34.0,turkish pop
Ali Inzel,6WyJHmC9N8XoIJ24LOIJNS,Ali Inzel,188.0,0.0,
ali i̇lkan,5sKWGPpUf7XV0gAQ2pLawT,Ali İlkan,0.0,0.0,
ali kaan gebeş,73gBVrV8L6k30ymMlUbtc3,Ali Kaan Gebeş,23.0,0.0,
Ali Kazım Akdağ,19xt2QjGKagNI5TWgmYkZ2,Ali Kazım Akdağ,1033.0,25.0,
ali kınık,0J7kxhnyiFpd0NArVYvexR,Ali Kınık,272708.0,49.0,arabesk
Ali Kırca,1ccBkiMwAKd33AHtj9kmyp,Ali Kirca,164.0,3.0,turkish pop
ali kocadinç,0WHSR6efsoD0vXuVplZZlk,Ali Kocadinç,0.0,0.0,
ali kocatepe stüdyo çocuk tiyatrosu oyun ekibi,2mIfoRWYMaFfP3Pz7j3m0f,Ali Kocatepe Stüdyo Çocuk Tiyatrosu Oyun Ekibi,168.0,0.0,"enka, anatolian rock, indie folk"
ali kuru,4ljGdf7WSUgs2gc0TVGNGV,Ali Kuru,28436.0,26.0,"organic house, tribal house"
