isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Huri Zuhal,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ali Nuri Türkoğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Esra Balıkçı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Alara Serena,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Hakan Gürtop,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Günce Mutlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Yorukson,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Hazal Şenel,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Solid Waves,"İstanbul, İstanbul, Turkey",,solo,İstanbul
"Always, Then","İstanbul, İstanbul, Turkey",,grup,İstanbul
Kübra Uzun,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Fahire Fersan,"Istanbul, Istanbul, Turkey",,solo,Istanbul
Celil Refik Kaya,"Istanbul, Istanbul, Turkey","Austin, TX, United States",solo,TX
Mehmet Binay,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Gece Işık Demirel,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Illusions Play,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Celal Kadri Kınoğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mustafa Kuşçu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Hayal Köseoğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
