isim,wikidata_id,dogum_yeri,cinsiyet,muzik_turu,Spotify_ID
Ayça Miraç,Q110625260,Gelsenkirchen,kadın,,
Ayça Tekindor,Q6072181,,kadın,pop müzik,
Ayça Şen,Q6087699,Trabzon,kadın,pop müzik,
Ayçe Kartal,Q17430494,İstanbul,erkek,,
Ayçıl Yeltan,Q31189059,Nazilli,kadın,,
Ayşe Bosse,Q80103426,Frankfurt,kadın,,
Ayşe Deniz Gökçin,Q4831955,Ankara,kadın,,
Ayşe Dudu Özdemir,Q102078013,Brüksel Şehri,kadın,pop müzik,6881xqdqrg0cmIk32nbil3
Ayşe Gencer,Q116555658,İstanbul,kadın,,
Ayşe Hatun Önal,Q12808659,Adana,kadın,"pop müzik, dance pop, elektro-house",25yeRs08qswXKKtq0HYTMS
Ayşe Kalmaz,Q26695948,İzmir,kadın,,
Ayşe Mine,Q96248997,İstanbul,kadın,,
Ayşe Polat,Q125735,Malatya,kadın,,
Ayşe Saran,Q46224430,İstanbul,kadın,,0dq9yNDjlqHSCSzME0uIug
Ayşe Toprak,Q56236184,,kadın,,
Ayşe Tunalı,Q85968382,Beykoz,kadın,,
Ayşe Tütüncü,Q793413,Adana,kadın,caz,
Ayşe Çınar,Q31190144,İzmir,kadın,,
Ayşe Önder,Q6086442,İzmir,kadın,,
Ayşe Özyılmazel,Q6093778,İstanbul,kadın,pop müzik,5JVOrEOHz2JLB9WzFw5BfW
Ayşe İnak Ekiz,Q6065232,,kadın,,
Ayşe Şan,Q464678,Diyarbakır,kadın,,
Ayşegül Aldinç,Q443079,İstanbul,kadın,pop müzik,1pHd2SEhBRbA7RmMlaxT6v
Ayşegül Coşkun,Q87064265,İstanbul,kadın,pop müzik,
Ayşegül Koca,Q43303405,Ankara,kadın,,
Ayşegül Yeşilnil,Q6102013,Turgutlu,kadın,,
Ayşegül Yordam,Q6040799,Türkiye,kadın,,
Ayşenur Kolivar,Q20513161,Çayeli,kadın,,4sZoPjQQIl8WXwYanHH6bK
Ayşin Eralp,Q95197171,Münih,kadın,,
Azer Bülbül,Q6895627,Arpaçay,erkek,Türk halk müziği,
Azerin,Q6895432,Bakü,kadın,pop müzik,
Aziz Azmet,Q6066786,,erkek,,
Aziz Fuat Güner,Q137505926,,erkek,,
Aziz Çapkurt,Q131395728,Kars,erkek,,
Aziz Şenol Filiz,Q132759919,İzmir,erkek,,
Azize Gencebay,Q6016905,Türkiye,kadın,,7DjFCpDVox82ZOM0STpwCj
Azra Deniz Okyay,Q109386141,,kadın,,
Ağam Arslanparçası,Q61361152,Çermik,erkek,,15Wd18sc55vz31N7ASjC8C
Ağaçkakan,Q119166839,Ankara,erkek,,
Aşkın Mert Şalcıoğlu,Q117620131,Artvin,erkek,,
Aşkın Nur Yengi,Q546014,İstanbul,kadın,pop müzik,2fYdUIUPS7aDdWCzb8Aw2k
Aşkın Tuna,Q133521196,İstanbul,erkek,"pop müzik, Klasik Türk müziği, fantezi müzik",
Aşkın Çolak,Q6085544,Gölcük,erkek,rock müziği,
Aşık Daimi,Q6070387,İstanbul,erkek,,
Aşık Ferrahi,Q6032023,Adana,erkek,,
Aşık Gülabi,Q794820,Sungurlu,erkek,,
Aşık Mahmut Sağlam,Q6018266,,erkek,,
Aşık Veysel,Q252734,Şarkışla,erkek,Türk halk müziği,7rVsiFwBEEmTNoStle68F3
BRKN,Q58464179,Berlin,erkek,,
Babür Tongur,Q116586641,Ankara,erkek,,
Baha,Q6089905,,erkek,pop müzik,
Baha Boduroğlu,Q31189177,İstanbul,erkek,pop müzik,5mW103YUYbiRMIQXqXUNYf
Baha Gelenbevi,Q4842212,İstanbul,erkek,,
Bahadır Akkuzu,Q2226386,İstanbul,erkek,,
Bahadır Karasu,Q4842286,Bandırma,erkek,,
Bahadır Tatlıöz,Q108766750,,erkek,,
Bahattin Çamurali,Q97235362,Sürmene,erkek,,
Bahri Turan,Q113180831,Murgul,erkek,,
Baki Çallıoğlu,Q31190151,Denizli,erkek,,6u6gMzY1qCS5S28qdVcNU9
Balık Ayhan,Q134451433,Kasımpaşa,erkek,,
Baneva,Q97211089,,erkek,,
Banu Alkan,Q4857287,Dubrovnik,kadın,,
Banu Kanıbelli,Q109391643,İstanbul,kadın,,
Banu Kırbağ,Q6034490,İstanbul,kadın,pop müzik,
Banu Sıvacı,Q51274545,Adana,kadın,,
Barbaros Erköse,Q16104432,Bursa,erkek,,
Barbaros Hayrettin,Q120403813,,erkek,,
Baris Akardere,Q129112558,,erkek,,
Barlas Erinç,Q4861136,,erkek,heavy metal,
Bartu Küçükçağlayan,Q6100042,Eskişehir,erkek,,
Barış Akarsu,Q791161,Zonguldak,erkek,rock müziği,0rHmlPHC63IGBTrtQEdDw6
Barış Aladağ,Q21980961,Stuttgart,erkek,,
Barış Atay,Q6046649,Wilhelmshaven,erkek,,
Barış Bayraktar,Q6034207,,erkek,,
Barış Doğanay,Q95773908,,erkek,,
Barış Erdoğan,Q107261965,Ankara,erkek,,
Barış Ertunç,Q6079652,İzmit,erkek,,
Barış Eyriboz,Q4866128,Karadeniz Ereğli,erkek,,
Barış Kaya,Q84609854,,erkek,,
Barış Manço,Q442656,İstanbul,erkek,"rock müziği, progressive rock, folk rock, psikedelik rock, Anadolu rock, pop rock",3eVuump9qyK0YCQQo4mKbc
Barış Pirhasan,Q6087949,İstanbul,erkek,,
Barış Uygur,Q23817654,Eskişehir,erkek,"hiciv, suç edebiyatı",
Barış Yöş,Q17045529,İzmir,erkek,,
Barış Özcan,Q65219275,İstanbul,erkek,,
Batu Akdeniz,Q90967317,,erkek,,
Batu Mutlugil,Q6005049,İstanbul,erkek,,
Batuhan Aydın,Q85968661,,erkek,,
Batuhan Mutlugil,Q6082382,İstanbul,erkek,alternatif rock,
Batuhan Türker,Q116854232,Ankara,erkek,,
Batur Yurtsever,Q6010437,,erkek,,
Baturay Yarkın,Q116587763,İstanbul,erkek,,
Bayar Şahin,Q97648655,Bornova,erkek,,
Bayhan Gürhan,Q17045533,Adana,erkek,pop müzik,
Bayram Aracı,Q24289682,Ankara,erkek,Türk halk müziği,0EEhBSUuHofvzbopwObLQg
Bayram Coşkuner,Q19610694,Ankara,erkek,,
Başak Büyükçelen,Q107087754,İstanbul,kadın,,
Başak Daşman,Q6090116,İstanbul,kadın,,
Başak Dilara Özdemir,Q54932602,,,,
Başak Gunak,Q108046468,,kadın,,
Başak Gümülcinelioğlu,Q107594967,Fatih,kadın,,2t63DLmOGdPDk8AiF8qPPN
Başak Yavuz,Q97220411,,kadın,,
Başar Sabuncu,Q4875338,İstanbul,erkek,,
Başar Ünder,Q95288288,İstanbul,erkek,,
Bedia Akartürk,Q6081262,Ödemiş,kadın,,
Bedih Yoluk,Q6099815,Şanlıurfa,erkek,gazel,
Bedri Baykan,Q2003884,Ankara,erkek,,
Bedriye Hoşgör,Q16006400,Osmanlı İmparatorluğu,kadın,,
Bedük,Q2893604,Ankara,erkek,Elektro,1Ff0dxz94grKP7s4p3ANlp
Behiye Aksoy,Q6080694,İstanbul,kadın,,
Behlül Dal,Q61350684,İstanbul,erkek,,
Behzat Üvez,Q5364170,Ankara,erkek,dünya müziği,
Behçet Gülas,Q6087711,,erkek,halkiyat,
Bektaş Turhan,Q815052,Türkiye,erkek,,
Belkıs Akkale,Q463818,İstanbul,kadın,Türk halk müziği,3JDnwrAqfEfuIWCF5TvKNH
Belkıs Aran,Q47501661,,kadın,,
Belkıs Özener,Q6067178,İzmir,kadın,,
Belma Baş,Q31190582,Ordu,kadın,,
Belmin Söylemez,Q25475135,Ankara,kadın,,
Bendeniz,Q445789,Zürih,kadın,pop müzik,39b2aS3568sYAC6CG5hsJw
Bengisu Önal,Q130245416,,kadın,,
Bengü,Q463541,İzmir,kadın,pop müzik,6wxh9aTFgTS4OiyYlnQBq6
Bengü Beker,Q133458102,Çorum,kadın,,
Benyamin Sönmez,Q818407,Bremen,erkek,klasik müzik,
Berdan Mardini,Q117748858,Diyarbakır,erkek,,
Bergen,Q4891479,Mersin,kadın,,
Berivan Arin,Q6927489,,kadın,,
Berk Altan,Q135055066,,erkek,,
Berk Gürman,Q97236879,İstanbul,erkek,,4en0Ayb2PyA0yOzoSyQLJR
Berk Tokay,Q6021388,,erkek,,
Berk Türkkan,Q95862818,,erkek,,
Berk Çakmakçı,Q53098165,,erkek,,
Berkant,Q4891947,Ankara,erkek,,
Berkay,Q6057022,Ankara,erkek,pop müzik,5juVQV1lGuA4o5IrLwpZar
Berkay Berkman,Q117862858,,erkek,,
Berkay Tulumbacı,Q137039943,Lefkoşa,erkek,,
Berke Baş,Q26911499,,erkek,,
Berke Hatipoğlu,Q4891960,İstanbul,erkek,rock müziği,
Berke Özgümüş,Q6098054,,erkek,rock müziği,
Berksan,Q5573736,Ankara,erkek,pop müzik,
Berkun Oya,Q6098391,Bursa,erkek,,
