isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Alper Ayyıldız,"Adana, Adana, Turkey",,solo,Adana,2jaVCQfZPwNR2Z7Y7grFdA,105531.0,40.0,turkish hip hop,turkish hip hop,,turkish hip hop
Ayşe Hatun Önal,"Adana, Turkey",,solo,Adana,25yeRs08qswXKKtq0HYTMS,179205.0,47.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Ayşe Tütüncü,"Adana, Adana, Turkey",,solo,Adana,4bIqQ0WRwvBRe5mDvlXXN1,118.0,1.0,anatolian rock,free jazz,,turkish jazz
Biricik,"Adana, Adana, Turkey",,solo,Adana,65JPo2J7wXf1LbaCetjfe9,6393.0,10.0,arabesk,arabesk,,
Erol Büyükburç,"Adana, Adana, Turkey",,solo,Adana,5Mi0CfVFTACW7wclXpIA6G,14420.0,27.0,"anatolian rock, turkish pop","anatolian rock, turkish pop, tango",pop,turkish psych
Ferdi Tayfur,"Adana, Adana, Turkey",,solo,Adana,6WLkcqDXHgfe80TNMH1C5z,1425029.0,57.0,arabesk,arabesk,,arabesk
Feridun Düzağaç,"Adana, Turkey",,solo,Adana,7MZj0XxqxlCZPj6JsMQq0Z,838876.0,46.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
Groza,"Adana, Adana, Turkey",,solo,Adana,4vexLDbfehpgMFreLkeatb,1355.0,13.0,turkish hip hop,black metal,,turkish metal
Halil Koçak,"Adana, Adana, Turkey",,solo,Adana,5HiBBvpQCpaRK0ERq1gqsH,1752.0,20.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",,deep turkish pop
Haluk Levent,"Adana, Turkey",,solo,Adana,1UV3ii5FWWXF3jkZVeA2bb,1621016.0,53.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",rock,"turkish pop, turkish rock"
Merdiven,"Adana, Adana, Turkey",,grup,Adana,4BowcvNyXtXWPryBpwNdM1,2735.0,20.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",metal,
Murat Göğebakan,"Adana, Adana, Turkey",,solo,Adana,2TUYtKan3NuDy9JexzL4db,363112.0,54.0,"arabesk, anatolian rock","arabesk, anatolian rock",,"arabesk, turkish folk"
Murat Kekilli,"Adana, Turkey",,solo,Adana,1av8oluskzg2mOBajdzRI9,232909.0,44.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish pop, turkish rock, turkish folk"
Mustafa Sağyaşar,"Adana, Adana, Turkey",,solo,Adana,6aFHolZoQY3n1lCzSytssg,17357.0,23.0,arabesk,arabesk,sanat müziği,
Nurhan Damcıoğlu,"Karaisalı, Adana, Turkey",,solo,Adana,771VjzTUZjO5uV9Qe2yiRH,2814.0,21.0,"oyun havasi, turkish pop, anatolian rock","oyun havasi, turkish pop, anatolian rock",,
Salman Tin,"Adana, Adana, Turkey",,solo,Adana,539RbtR2AVUYdmHQZjLL6m,31353.0,54.0,turkish pop,turkish pop,,turkish singer-songwriter
Selahattin Özdemir,"Adana, Adana, Turkey",,solo,Adana,6EwIOKoGaVIAo8nNAD0BKq,99196.0,34.0,arabesk,arabesk,arabesk,arabesk
Seyhan Karabay,"Adana, Adana, Turkey",,solo,Adana,2rOyRGF4pN0VF2z8Hr8NB2,1198.0,11.0,anatolian rock,anatolian rock,rock,
Taladro,"Adana, Adana, Turkey",,solo,Adana,2ShoGcsu8kekluGvbggGKQ,1144378.0,56.0,"turkish hip hop, arabesk","turkish hip hop, arabesk",,turkish hip hop
Yaşar,"Adana, Adana, Turkey",,solo,Adana,50AOA3aPd6tc928KEYaljF,891921.0,59.0,turkish pop,"turkish pop, arabesk, oyun havasi",pop,turkish pop
Zafer Dilek,"Adana, Adana, Turkey",,solo,Adana,16haAKwdzQGlVMQJlQydLP,6867.0,23.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",,turkish psych
Zehra Sabah,"Adana, Adana, Turkey",,solo,Adana,0p1vxbabW8GGexJxBSg2uA,826.0,0.0,arabesk,arabesk,,
Şahin Kendirci,"Adana, Adana, Turkey",,solo,Adana,4y2dYEsfWCKxncn9nsUdcY,30963.0,29.0,"arabesk, oyun havasi","arabesk, oyun havasi",,arabesk
Ali Tekintüre,"Besni, Adıyaman, Turkey",,solo,Adıyaman,2IIMcq3R5ethW6WC9K44mJ,9571.0,17.0,arabesk,arabesk,,arabesk
Latif Doğan,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman,43kI5nP3x70CtCm0gTRdcf,87799.0,38.0,"arabesk, oyun havasi","arabesk, oyun havasi",,arabesk
Mehmet Ünal,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman,7D96D7AKlBWbsoqtDEUeaj,107.0,0.0,turkish pop,idm,,
Emre Fel,"Amasya, Amasya, Turkey",,solo,Amasya,1kRAeenoDZ5jBdzboZQuKa,681675.0,61.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish singer-songwriter
Göknur,"Amasya, Turkey",,solo,Amasya,1LKpWOqpTukifNper5c1qp,120.0,21.0,arabesk,arabesk,,deep turkish pop
Sadık Gürbüz,"Amasya, Amasya, Turkey",,solo,Amasya,0xjC2mnCxPqhpdMLCurUhU,16446.0,18.0,anatolian rock,anatolian rock,halk,turkish folk
Ahiyan,"Ağrı, Ağrı, Turkey","Ankara, Ankara, Turkey",solo,Ankara,0U8sdaBYsYld98xOIX1nYB,249543.0,57.0,turkish hip hop,turkish hip hop,,turkish hip hop
Akrep Nalan,"Ankara, Ankara, Turkey",,solo,Ankara,2TGC73pOQvqpbwxQcCTBho,11634.0,31.0,turkish pop,turkish pop,"halk, pop",
Alpay,"Ankara, Ankara, Turkey",,solo,Ankara,54dXUQ28NmpBHImIXjRsUg,67716.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Ankaralı Turgut,"Ankara, Ankara, Turkey",,solo,Ankara,6FwhwuxGyBiySLyTPit632,52943.0,32.0,"oyun havasi, arabesk","oyun havasi, arabesk","halk, arabesk",arabesk
Ankaralı Yasemin,"Çankaya, Ankara, Turkey",,solo,Ankara,7LV6zJEDmlEDBdCWtY0NGn,20570.0,30.0,"oyun havasi, arabesk","oyun havasi, arabesk",,arabesk
Aspova,"Ankara, Ankara, Turkey",,solo,Ankara,2sjnyyL9NXijL3Fr2eLikf,412197.0,51.0,turkish hip hop,turkish hip hop,,turkish hip hop
Atilla Yelken,"İstanbul, İstanbul, Turkey","Ankara, Turkey",solo,Ankara,3xbh2Avzz7tXJgRJwOsGfv,691.0,0.0,anatolian rock,anatolian rock,,turkish psych
Attila Özdemiroğlu,"Ankara, Ankara, Turkey",,solo,Ankara,4fhrR5Y5QTrIfcYVExMoX0,42.0,0.0,anatolian rock,anatolian rock,pop,
Aydın Tansel,"Ankara, Turkey",,solo,Ankara,55VsQYE34nvDeQhYNB6naZ,2697.0,6.0,"anatolian rock, turkish pop",,,
Baneva,"Konya, Konya, Turkey","Ankara, Ankara, Turkey",solo,Ankara,19YsBPYDyAmKbcFoor4W4e,93267.0,48.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Barlas,"Ankara, Ankara, Turkey",,solo,Ankara,7svcr7IGuCyKZYwilzgx4n,527.0,16.0,turkish pop,"g-house, slap house",,
Bedo,"Ankara, Ankara, Turkey",,solo,Ankara,7xD3PtnXEsJeqsPtJ3N3si,408203.0,55.0,"turkish hip hop, turkish pop",,elektronik,turkish hip hop
Bedük,"Ankara, Turkey",,solo,Ankara,1Ff0dxz94grKP7s4p3ANlp,26203.0,37.0,turkish pop,turkish pop,,turkish pop
Berkant,"Elmadağ, Ankara, Turkey",,solo,Ankara,2c3QSjXlvmSEHsaosjFmd1,19909.0,27.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",,
Berkay,"Ankara, Ankara, Turkey",,solo,Ankara,5juVQV1lGuA4o5IrLwpZar,625772.0,57.0,"turkish pop, arabesk, t-pop","turkish pop, arabesk, t-pop",,turkish pop
Can Şengün,"Ankara, Ankara, Turkey",,solo,Ankara,7zRRJK11f32xjUA10NvbTX,5.0,0.0,turkish pop,,,
Caner Gülsüm,"Ankara, Ankara, Turkey",,solo,Ankara,1SaE56yp1v7ayBnAWtmlvc,20274.0,34.0,"arabesk, oyun havasi","arabesk, oyun havasi",,turkish folk
Chef Bi,"Ankara, Ankara, Turkey",,solo,Ankara,6Cf83I8yeJUd9uIPEUV6IM,44432.0,41.0,turkish hip hop,turkish hip hop,,turkish hip hop
Deniz Arcak,"Ankara, Turkey",,solo,Ankara,1EYG9EGkb762d5qKVbxZJB,55140.0,30.0,turkish pop,turkish pop,,"turkish pop, turkish singer-songwriter"
Deniz Gürzumar,"Ankara, Ankara, Turkey",,solo,Ankara,1nbkdlGLMmM7rVNAkfoDu0,33367.0,23.0,turkish hip hop,turkish hip hop,,turkish hip hop
Deniz Çakır,"Ankara, Ankara, Turkey",,solo,Ankara,29YFAz8SI57xlybvxCk3sb,748.0,19.0,turkish pop,turkish pop,,
Deniz Çetin,"Ankara, Ankara, Turkey",,solo,Ankara,2mbEUGEaqBGllt41g9eTD3,1318.0,20.0,turkish pop,turkish pop,,
Diken,"İstanbul, İstanbul, Turkey","Ankara, Ankara, Turkey",grup,Ankara,14sOXo6iCym0ZP1oWuLlGg,9052.0,14.0,anatolian rock,,,turkish metal
Dr. Skull,"Ankara, Turkey",,grup,Ankara,5Q3rwfTFs77PxIEXOJVMIt,20818.0,15.0,anatolian rock,"dancehall, afrobeats, afrobeat, soca","punk, metal",turkish metal
Durul Gence,"Ankara, Ankara, Turkey",,solo,Ankara,0TIB9N2hBAiOX96eX7E7HU,790.0,0.0,anatolian rock,"anatolian rock, turkish pop","caz, rock",
Ebru Yaşar,"Ankara, Turkey",,solo,Ankara,0Qbd0AGWuzggX61s306wZN,1164904.0,61.0,"turkish pop, arabesk, oyun havasi","turkish pop, arabesk, oyun havasi",,"turkish pop, arabesk, deep turkish pop"
Ebru Şimşek,"Ankara, Turkey",,solo,Ankara,2SmU0lqqU73O5sE2HaNdqp,1566.0,0.0,turkish pop,turkish pop,,deep turkish pop
Elif Güvendik,"Ankara, Ankara, Turkey",,solo,Ankara,3gv08GaHCaaDLFtnCDz4Dh,1321.0,0.0,turkish pop,turkish pop,"halk, dans",deep turkish pop
Emre Nalbantoğlu,"Ankara, Ankara, Turkey",,solo,Ankara,14TogIxl5TVMe7aa7IaLv1,65473.0,43.0,anatolian rock,anatolian rock,,turkish rock
Enes Batur,"Ankara, Ankara, Turkey",,solo,Ankara,5q0uL3T6JoEVGylrtCnfCb,619751.0,35.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,
Erkan Oğur,"Ankara, Ankara, Turkey",,solo,Ankara,7HIccJjwPhWkLVKu0gGJgB,241020.0,41.0,"arabesk, karadeniz folk","arabesk, karadeniz folk","caz, halk, blues","turkish folk, turkish jazz"
Evren Besta,"Ankara, Ankara, Turkey",,solo,Ankara,3eszEJ43r9HY92CvMSepYZ,37303.0,16.0,turkish hip hop,turkish hip hop,"rap, hip hop",turkish hip hop
Ezhel,"Ankara, Ankara, Turkey",,solo,Ankara,6LnJKrtFnTEGdbWQ2riWCL,7109230.0,67.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop","trap, rap, pop","turkish trap, turkish hip hop"
Ferman Akgül,"Ankara, Ankara, Turkey",,solo,Ankara,6cBRNsetPDbFYEYfd62XMc,101313.0,38.0,turkish pop,turkish pop,rock,
Furkan Karakılıç,"Ankara, Ankara, Turkey",,solo,Ankara,419dPBqnjp9M1SPNlne291,15266.0,28.0,turkish hip hop,turkish hip hop,rap,
Genco Ecer,"Ankara, Turkey",,solo,Ankara,0zaU3oap9Jq2T5k3FZ4s5c,4003.0,13.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,deep turkish pop
Grangulez,"Ankara, Ankara, Turkey",,solo,Ankara,3xxVIB22FyLUoYScI46f1P,225.0,1.0,anatolian rock,anatolian rock,pop,
Gxblin,,"Ankara, Ankara, Turkey",solo,Ankara,4tGJWZ4OrCrOMIFTdfhLmv,5918.0,24.0,turkish hip hop,turkish hip hop,,turkish hip hop
Gökhan Özen,"Ankara, Turkey",,solo,Ankara,3QLMLmISoZnFxUdzSoT6JB,550340.0,51.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Gökçe Kılınçer,"Ankara, Ankara, Turkey","London, Greater London, United Kingdom",solo,Ankara,1XDrTgMm3OOlIPOfyxm4xM,84509.0,40.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",pop,turkish jazz
Gülden Karaböcek,"Ankara, Ankara, Turkey",,solo,Ankara,2wioAsnSZ6JmA6I7Y7PDkc,878062.0,53.0,"arabesk, anatolian rock","arabesk, anatolian rock","halk, fantezi, arabesk","arabesk, turkish folk"
Gülşen Kutlu,"Şereflikoçhisar, Ankara, Turkey",,solo,Ankara,5xuQlQor4mc2SoMoOuoRQI,23445.0,28.0,"oyun havasi, karadeniz folk, arabesk","oyun havasi, karadeniz folk, arabesk",halk,turkish folk
Günce,"Ankara, Ankara, Turkey",,solo,Ankara,00pphg187ZA7H11g7zp17v,2473.0,8.0,turkish pop,,,deep turkish pop
Hakan Taşıyan,"Ankara, Ankara, Turkey",,solo,Ankara,3Q4vUSwEp9P7ussNXBpHbZ,210835.0,40.0,arabesk,arabesk,,arabesk
Hakan Tunçbilek,"Ankara, Ankara, Turkey",,solo,Ankara,7Ejh8LL9odzXRIDGVWcCTw,3572.0,40.0,turkish pop,turkish pop,,
Hayvanlar Alemi,"Ankara, Ankara, Turkey",,grup,Ankara,3EtvZSyR0g9QXhHEtePXza,3188.0,2.0,"space rock, stoner rock, anatolian rock","space rock, anatolian rock, stoner rock",rap,
Hidra,"Durham, Durham, United Kingdom","Ankara, Ankara, Turkey",solo,Ankara,3yzGegJHrOW1CndMVFoo3m,845856.0,55.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Karakedi,"Ankara, Turkey",,grup,Ankara,1WRvmL1soTAaVTBFWlMrEW,1780.0,2.0,anatolian rock,"anatolian rock, turkish pop",,
Keişan,"Ankara, Ankara, Turkey",,solo,Ankara,5Pd3tsRa9fj2Q3JPQ0tYEv,240836.0,38.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Kerim Yağcı,"Ankara, Ankara, Turkey",,solo,Ankara,0JIgLEXOCtRHoQTdemMTBP,15051.0,32.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",,
Koray Avcı,"Ankara, Ankara, Turkey",,solo,Ankara,3sV7ijrP5xMHgWRlOnPTCi,1302204.0,49.0,"arabesk, turkish pop, karadeniz folk, oyun havasi","arabesk, turkish pop, karadeniz folk, oyun havasi",,
Mehmet Teoman,"Ankara, Ankara, Turkey",,solo,Ankara,4XHaxvNvufnwea4gaACPWO,236.0,1.0,turkish pop,turkish pop,,
Melis Sökmen,"Ankara, Ankara, Turkey",,solo,Ankara,0H83Ljg3YxbUzWx45WjDWL,11233.0,33.0,turkish pop,turkish pop,dans,turkish jazz
Metropolis,"Ankara, Turkey",,grup,Ankara,62tG7RC8RPaCgwLeC6RfSj,1917.0,10.0,anatolian rock,"catholic music, hymns, gregorian chant",,turkish metal
Mode XL,"Ankara, Ankara, Turkey",,grup,Ankara,2qpp3Yjdi0E0D0H1d0Phc1,138995.0,36.0,turkish hip hop,turkish hip hop,"rap, hip hop",turkish hip hop
Muazzez Abacı,"Ankara, Ankara, Turkey",,solo,Ankara,0YCbq8656cGkwlNOPF0dkc,101830.0,37.0,arabesk,arabesk,klasik,
Murat Başaran,"Ankara, Turkey",,solo,Ankara,4yN3WGIwkWg6kw7rF6Yh2M,50591.0,41.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, arabesk, deep turkish pop"
Mustafa Kaya,"Ankara, Ankara, Turkey",,solo,Ankara,1utQLKlInqDudjyFbmc97P,33094.0,43.0,arabesk,arabesk,,
Nazlı Öksüz,"Ankara, Ankara, Turkey",,solo,Ankara,0WmQVyCYjOLMH06s3Y5B3k,25076.0,34.0,"arabesk, karadeniz folk, oyun havasi","arabesk, karadeniz folk, oyun havasi",,turkish folk
Okan Murat Öztürk,"Ankara, Ankara, Turkey",,solo,Ankara,1fxGZzcaalf3YcB6wd22MY,15048.0,22.0,"arabesk, traditional music","arabesk, traditional music",,turkish folk
Pilli Bebek,"Ankara, Ankara, Turkey",,grup,Ankara,63RFns47gk00mnHIQ8zTR1,523020.0,58.0,anatolian rock,anatolian rock,,turkish rock
Ruşen Güneş,"Ankara, Ankara, Turkey","London, Greater London, United Kingdom",solo,Ankara,4RarifRWZY2vmwr4HAKXEC,754.0,19.0,arabesk,arabesk,,
Seden Gürel,"Ankara, Ankara, Turkey",,solo,Ankara,5vylnY1bnqGSWu1QPL4SRM,79442.0,43.0,turkish pop,turkish pop,,turkish pop
Seksendört,"Ankara, Ankara, Turkey",,grup,Ankara,7IgzsWd4tWIn70uh6dAq8d,1475768.0,57.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock","turkish pop, turkish rock"
Serap Mutlu Akbulut,"Ankara, Ankara, Turkey",,solo,Ankara,1QqB1uPcDFo7YINrrguLB3,8910.0,23.0,arabesk,arabesk,"rap, klasik",
Serap Sapaz,"Ankara, Ankara, Turkey",,solo,Ankara,5dRMT7YVDHVphkx5FSfrqq,1278.0,4.0,turkish pop,turkish pop,rap,deep turkish pop
Servet Kocakaya,"Solhan, Bingöl, Turkey","Ankara, Ankara, Turkey",solo,Ankara,0LRZ6OjOym10wsJ69I1xXs,99576.0,41.0,arabesk,arabesk,,turkish folk
Sevinç Tevs,"Ankara, Ankara, Turkey",,solo,Ankara,6tsSJfi5nLW8qt7m2sSEGF,3208.0,9.0,anatolian rock,anatolian rock,caz,turkish jazz
Sibel Bilgiç,"Ankara, Ankara, Turkey",,solo,Ankara,2KHcI76qXxV0xUQhQ6cIsp,46360.0,41.0,"arabesk, turkish pop","arabesk, turkish pop",,
Sibel Egemen,"Ankara, Ankara, Turkey",,solo,Ankara,004o28Efomj1XPNvbAcwIX,21171.0,20.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Spade427,"Ankara, Ankara, Turkey",,solo,Ankara,7GREWMFJ4IGk3I9Sco4uDM,15907.0,21.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Suavi Karaibrahimgil,"Ankara, Ankara, Turkey",,solo,Ankara,0eqONPoucqGXWBDxWT3SvK,256.0,2.0,"anatolian rock, turkish pop",anatolian rock,,
Sufle,"Ankara, Ankara, Turkey",,grup,Ankara,1hWfWJvstJQPgjZ2vDFY0P,470532.0,55.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Tayfun Karatekin,"Ankara, Ankara, Turkey",,solo,Ankara,7jHg2OTSrhguW9hCJczvpD,1775.0,14.0,anatolian rock,anatolian rock,,
Tutsak,"Ankara, Ankara, Turkey",,solo,Ankara,63uGZD0vf3Vp26f1zkELsf,26977.0,19.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Tüzmen,"Ankara, Ankara, Turkey",,solo,Ankara,03sXUSwnOcpBxFsFlfPePc,774.0,6.0,turkish pop,turkish pop,,
Yabancılar,"Ankara, Turkey",,grup,Ankara,1FRmdjCKUM95DFqLfvqEql,11.0,0.0,anatolian rock,,,
Yunus Emre & Frekans,"Ankara, Ankara, Turkey",,solo,Ankara,3uRXZnyn3kzB7CWKW3ntCu,18407.0,12.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Zakkum,"Ankara, Ankara, Turkey",,grup,Ankara,70Ya7DKJEo20SAkxjirYnu,1228884.0,53.0,"turkish pop, arabesk, anatolian rock","turkish pop, arabesk, anatolian rock",,"turkish pop, turkish rock"
Zerrin Özer,"Ankara, Turkey",,solo,Ankara,2CleFSxMoxkm2RduyMwcrm,428634.0,49.0,"arabesk, turkish pop","arabesk, turkish pop",pop,turkish pop
Zeynep Mansur,"Ankara, Ankara, Turkey",,solo,Ankara,6p93DCPd1mTZVok52IIVAr,3610.0,5.0,turkish pop,turkish pop,,deep turkish pop
Çilekeş,"Ankara, Ankara, Turkey",,grup,Ankara,3iLM9tkogCRKgRYYbt8tvN,119638.0,48.0,anatolian rock,anatolian rock,,"turkish rock, turkish metal"
Özcan Deniz,"Ankara, Turkey",,solo,Ankara,4VU1nemTk5QFsrclcN8VFl,357948.0,52.0,"arabesk, turkish pop","arabesk, turkish pop",,turkish pop
Özge Fışkın,"Ankara, Ankara, Turkey",,solo,Ankara,0acW6PhzqNwRvVcnRozzfB,5475.0,26.0,turkish pop,turkish pop,rock,
Şehrazat,"Ankara, Ankara, Turkey",,solo,Ankara,0a5LeayBVar0YadZ32KTZ5,3337.0,14.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Şiirbaz,"Samsun, Samsun, Turkey","Ankara, Ankara, Turkey",solo,Ankara,7xURIiVo2JwZ1wIBLE2tYs,59250.0,26.0,"turkish hip hop, lo-fi beats","turkish hip hop, lo-fi beats",,turkish hip hop
Levent Yüksel,"Antalya, Turkey",,solo,Antalya,3OVWvBHwlq5w8iRJEBoCp2,400043.0,52.0,turkish pop,turkish pop,,turkish pop
Yeis Sensura,"Aydın, Aydın, Turkey","Antalya, Antalya, Turkey",solo,Antalya,08zaslX1yBxta9zqc2yoWJ,74784.0,32.0,turkish hip hop,turkish hip hop,,turkish hip hop
Cengiz Kurtoğlu,"Artvin, Artvin, Turkey",,solo,Artvin,73wqUOsgp2DZd4IAmf48Gn,1557627.0,58.0,arabesk,arabesk,"arabesk, taverna",arabesk
Kâzım Koyuncu,"Hopa, Artvin, Turkey",,solo,Artvin,03YhQQYWzaAU3HAQAJzIHG,1168742.0,52.0,"karadeniz folk, arabesk, anatolian rock, oyun havasi","karadeniz folk, arabesk, anatolian rock, oyun havasi",rock,"turkish pop, turkish rock, turkish folk, turkish singer-songwriter"
Mustafa Topaloğlu,"Hopa, Artvin, Turkey",,solo,Artvin,0xvh0WLVTN9oBCpaCRqUbr,4923.0,16.0,"oyun havasi, arabesk, karadeniz folk, turkish pop","oyun havasi, arabesk, karadeniz folk, turkish pop",,
Resul Dindar,"Hopa, Artvin, Turkey",,solo,Artvin,7fVMq1kHVAQao9iPGHNGyK,427985.0,50.0,"karadeniz folk, oyun havasi, arabesk","karadeniz folk, oyun havasi, arabesk",halk,turkish pop
Vio,"Artvin, Artvin, Turkey",,solo,Artvin,0XkEUMM4lJHAzfTK9vR0cu,1127998.0,56.0,"thai pop, t-pop, thai indie pop",,rap,"turkish trap, turkish hip hop"
Öztürk Serengil,"Hopa, Artvin, Turkey",,solo,Artvin,1k4TNy8819y0QKjsqBcnNe,2289.0,5.0,anatolian rock,anatolian rock,,
Fatma Turgut,"Aydın, Aydın, Turkey",,solo,Aydın,1dsKaRPU3HFSdlNyMmH5QI,662286.0,56.0,turkish pop,turkish pop,,"turkish pop, turkish rock"
Gökhan Kırdar,"Aydın, Aydın, Turkey",,solo,Aydın,0iTcX6LMMIt0DeYJ3qBSQX,99807.0,41.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish rock, turkish singer-songwriter"
Ogan Aydin,"Kuşadası, Turkey",,solo,Aydın,7IsvBlSK1EAUFR7hQGFPgr,55.0,5.0,turkish pop,turkish pop,,
Ozan Ünlü,"Söke, Aydın, Turkey",,solo,Aydın,1c1HTyuVu61u4LiiLBEZ7e,1874.0,18.0,turkish pop,turkish pop,,
Sehabe,"Aydın, Aydın, Turkey",,solo,Aydın,6P5Tw2kwv3BAa3iONsQe9x,256316.0,42.0,turkish hip hop,turkish hip hop,,turkish hip hop
Stabil,"Aydın, Aydın, Turkey",,solo,Aydın,3XjAYzwW3zGIi0OetnEIvU,554950.0,54.0,turkish hip hop,turkish hip hop,,turkish hip hop
Duru Kurt,"Bandırma, Balıkesir, Turkey",,solo,Balıkesir,5BlHDJCMkok5rVxxROLSeO,340.0,2.0,turkish pop,turkish pop,,
Fikret Hakan,"Balıkesir, Balıkesir, Turkey",,solo,Balıkesir,2LW7jV86nHs73KMzsWMLT5,221.0,0.0,anatolian rock,anatolian rock,,
Göksel,,"Balıkesir, Balıkesir, Turkey",solo,Balıkesir,4i4ALRtQQmFxn3BCIB6iC0,1826892.0,61.0,turkish pop,turkish pop,,turkish pop
Hamiyet,"Balıkesir, Balıkesir, Turkey",,solo,Balıkesir,1Nf4GFSAwx7Bqfhu2awQ7E,1451.0,4.0,"arabesk, turkish pop",arabesk,sanat müziği,deep turkish pop
Hülya Avşar,"Edremit, Balıkesir, Turkey",,solo,Balıkesir,5ZQ2xzMSMon0UUnulwsPiO,59881.0,31.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Selahattin Altınbaş,"Bandırma, Balıkesir, Turkey",,solo,Balıkesir,1uCqU6lO4GuCmnSuBZyUHW,111.0,1.0,arabesk,arabesk,,
Serdar Ateşer,"İstanbul, İstanbul, Turkey","Ayvalık, Balıkesir, Turkey",solo,Balıkesir,3n6Xy24xiyMnwRpFZYqAPD,2045.0,5.0,anatolian rock,anatolian rock,,turkish jazz
Şanar Yurdatapan,"Susurluk, Balıkesir, Turkey",,solo,Balıkesir,1Lvqed9Ea7oezWLsS2Pdd6,59.0,1.0,anatolian rock,anatolian rock,,
Onur Akın,"Ahlat, Bitlis, Turkey",,solo,Bitlis,4CQctd09SRWjRoo3G7QBZf,262214.0,44.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",özgün,turkish folk
Adnan Şenses,"Bursa, Bursa, Turkey",,solo,Bursa,6tlHichCbpUAhn9BShQpxC,1176.0,11.0,arabesk,"arabesk, oyun havasi",,
Barikat,"Bursa, Bursa, Turkey",,grup,Bursa,2vWjrvYa6YCkytgrFKVi4y,1135.0,10.0,turkish hip hop,turkish hip hop,,
Canfeza,"Bursa, Bursa, Turkey",,solo,Bursa,0NkjVHxmDMo5QCHdou6jUt,296908.0,44.0,"turkish hip hop, arabesk","turkish hip hop, arabesk","caz, klasik",turkish hip hop
Ergin Altınel,"Ordu, Turkey","Bursa, Turkey",solo,Bursa,24Q1qoQc1vkJzKY1VfUOXr,292.0,0.0,anatolian rock,anatolian rock,,
Eser Yenenler,"Bursa, Turkey",,solo,Bursa,2DpZEODnvHNwUm74uICS0i,200.0,2.0,turkish pop,turkish pop,,
Fettah Can,"Karacabey, Bursa, Turkey",,solo,Bursa,17fJCykpa2EqIioh0zamN9,362782.0,54.0,turkish pop,turkish pop,,turkish pop
Gonca Vuslateri,"Bursa, Bursa, Turkey",,solo,Bursa,1Lqk5sH7UHfUOpA774zSDr,2279.0,23.0,turkish pop,turkish pop,,
Hedef 12,"Gemlik, Bursa, Turkey",,grup,Bursa,1McNefrwmbSwf8paxszsfZ,398.0,0.0,turkish hip hop,turkish hip hop,,
Işığın Yansıması,"Bursa, Bursa, Turkey",,grup,Bursa,2lykf222ZfV3bJM9WDdA3R,3438.0,8.0,anatolian rock,anatolian rock,,
Müzeyyen Senar,"Gököz, Bursa, Turkey",,solo,Bursa,7qMU11EGOWoOFrHlrHpbLd,287649.0,44.0,"arabesk, anatolian rock","arabesk, anatolian rock",sanat müziği,turkish folk
Naskas,"Bursa, Bursa, Turkey",,solo,Bursa,4bd7oWT6SKinvq07nfMJwB,2781.0,20.0,turkish hip hop,turkish hip hop,,turkish trap
Reckol,"Bursa, Turkey",,solo,Bursa,5FqTuN42w2zGw4Pzd50yaS,825204.0,54.0,"turkish hip hop, drill","turkish hip hop, drill",rap,
