isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Suat Suna,"Istanbul, Turkey",,solo,İstanbul,5BzgxbY1BseIx5cgJ791QF,52618.0,31.0,turkish pop,turkish pop,,turkish pop
Sunay Özgür,Bulgaria,"İstanbul, İstanbul, Turkey",solo,İstanbul,6mo0wDjcoViVQqgYIOsUAz,1447.0,29.0,"arabesk, turkish pop, oyun havasi","arabesk, turkish pop, oyun havasi",blues,
Süheyl Denizci,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4W7lDSB66M2F8Dg0AIP8FS,132.0,8.0,anatolian rock,anatolian rock,caz,
Taha Player,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2P2m5pspquFdopikrDMkpE,273.0,4.0,turkish hip hop,turkish hip hop,rap,
Taner Yücel,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3p8N3OYk31E610kPtirnte,707.0,6.0,anatolian rock,anatolian rock,,
Taner Öngür,"İstanbul, Turkey",,solo,İstanbul,0G4HK2aboD5qYquNGcJ2yO,3350.0,5.0,anatolian rock,anatolian rock,,turkish psych
Tanerman,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1X8IDE7vOMFmhR8Hg32EGA,32127.0,39.0,turkish hip hop,turkish hip hop,,
Tankurt Manas,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4ESPwgMOkNWv8mZIfe2mdO,443677.0,36.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Tarkan,"Alzey, Rheinland-Pfalz, Germany","İstanbul, İstanbul, Turkey",solo,İstanbul,2yMN0IP20GOaN6q0p0zL5k,4065672.0,71.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Tarık Mengüç,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5FA4BEGZx9jnCXY9vlXCbY,10635.0,30.0,"oyun havasi, turkish pop","oyun havasi, turkish pop",,
Tayfun,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1THjRh1sv6z4BG1d2GTJDH,6221.0,19.0,turkish pop,,,
Taylan Ayık,"İstanbul, Turkey",,solo,İstanbul,23ATxKFA6ONiF9ALxYjPlI,1555.0,1.0,anatolian rock,anatolian rock,,turkish metal
Tembel Hayvan,,"İstanbul, İstanbul, Turkey",solo,İstanbul,5tL58qZ5o0syILli8jnM5D,1085.0,0.0,turkish hip hop,turkish hip hop,latin,
Teoman,"Beyoğlu, İstanbul, Turkey",,solo,İstanbul,40KlwpvpKEQtZTJgbml8lT,2649791.0,61.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
The Ringo Jets,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5FhnxR08tvAO0f4ixh3VFD,15607.0,19.0,"anatolian rock, neo-psychedelic","anatolian rock, neo-psychedelic","alternatif, rock",turkish metal
Timur Selçuk,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5rgpYd0ABf0b7NzQ4Lu0WT,10.0,0.0,turkish pop,"anatolian rock, turkish pop",sanat müziği,"turkish jazz, turkish psych"
Tuvana Türkay,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0n0pCTv12929XavijK54LL,8575.0,27.0,turkish pop,turkish pop,,
Tülay German,"İstanbul, İstanbul, Turkey","Paris, Île-de-France, France",solo,İstanbul,0ieiygH07boIlZyMtupW4Q,46636.0,27.0,anatolian rock,anatolian rock,,
Tünay Akdeniz,"Divriği, Sivas, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,79sqxHfpsKFnyXH7rdnwv6,1583.0,4.0,"anatolian rock, psychedelic rock","anatolian rock, psychedelic rock","punk, rock",turkish psych
Türkan Şoray,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3qA8YoiaD2iT2pqFFzW6Uw,4438.0,17.0,arabesk,arabesk,,
Ufuk Beydemir,"İstanbul, İstanbul, Turkey",,solo,İstanbul,00C6n2psbFm6XWqyPCXJ5v,752430.0,50.0,turkish pop,turkish pop,,"turkish pop, turkish rock, turkish singer-songwriter"
Ufuk Yıldırım,,"İstanbul, Turkey",solo,İstanbul,0fO5ropybvt1jtxaqni2jn,8653.0,16.0,"turkish pop, arabesk","arabesk, turkish pop",pop,
Uzi,"İstanbul, İstanbul, Turkey",,solo,İstanbul,51DevdOxIJin6DB1FXJpD1,6969070.0,77.0,"turkish hip hop, drill",melodic rap,rock,turkish trap
Uğur Işık,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5cU0or6VT3G11dFPqG4zaH,11.0,1.0,anatolian rock,traditional music,,
Vinyl Obscura,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3oee4wSaKB43dH6QN35RPK,4508.0,39.0,turkish hip hop,turkish hip hop,,
Yalnayak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3jEtefzgPeUqmWbhrh27gu,5505.0,20.0,anatolian rock,anatolian rock,,
Yalın,"İstanbul, İstanbul, Turkey",,solo,İstanbul,46zuW8tHxwahYn7VNMgYTa,2602691.0,69.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Yasemin Mori,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1PaWbLip9XRxkmxmkzee1p,98450.0,37.0,turkish pop,turkish pop,,"turkish rock, turkish jazz"
Yavuz Bingöl,"İstanbul, Turkey",,solo,İstanbul,5sIeEgQpcW963L4HMDPgpZ,438284.0,42.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",,"arabesk, turkish folk, turkish singer-songwriter"
Yavuz Taner,"İstanbul, Turkey",,solo,İstanbul,76GNCwePDhAx7MsMZT6K5r,1579.0,16.0,arabesk,arabesk,,
Yağız Akıl,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3cgQ237QjcSrjR9RmW5JWT,1415.0,13.0,turkish hip hop,turkish hip hop,,
Yaşar Kurt,"Istanbul, Turkey",,solo,İstanbul,7jNvyyfgfDOM4ixD8LHhzW,125189.0,35.0,"karadeniz folk, anatolian rock","karadeniz folk, anatolian rock",rock,turkish rock
Yaşru,"İstanbul, İstanbul, Turkey",,grup,İstanbul,60H3Hkf1iBrGTKvjCnTXqY,13335.0,20.0,"folk metal, anatolian rock","folk metal, anatolian rock","folk, metal",turkish metal
Yeni Türkü,"Istanbul, Turkey",,grup,İstanbul,5Oo6D3FLRpWjgBn0mqfiA3,472960.0,46.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",halk,"turkish rock, turkish folk"
Yeşim Salkım,"İstanbul, Turkey",,solo,İstanbul,1EazdGiXrpHKzZTsuWK8zw,64888.0,35.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",,turkish pop
Yolda,,"İstanbul, İstanbul, Turkey",solo,İstanbul,4uvqhAc51Bo6Q9jpW1ErGK,49.0,7.0,anatolian rock,"anatolian rock, turkish pop",özgün,turkish jazz
Yonca Evcimik,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7uViwGf6m3VatgaIx4It0s,125026.0,44.0,turkish pop,turkish pop,dans,turkish pop
