isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Gülşah Çomoğlu,"Ankara, Ankara, Turkey",,solo,Ankara
İbrahim Hakkı Öztürk,"Ankara, Ankara, Turkey",,solo,Ankara
Necati Akpınar,"Ankara, Ankara, Turkey",,solo,Ankara
Ali Barkın,"Ankara, Ankara, Turkey",,solo,Ankara
Sade,"Ankara, Ankara, Turkey",,grup,Ankara
Nazlı Dinçel,"Ankara, Ankara, Turkey",,solo,Ankara
Mental Implant,"Ankara, Ankara, Turkey",,grup,Ankara
Sevinç Tevs,"Ankara, Ankara, Turkey",,solo,Ankara
Ferman Akgül,"Ankara, Ankara, Turkey",,solo,Ankara
maNga,,,solo,Ankara
Al'York,"Ankara, Ankara, Turkey",,grup,Ankara
Can Çakmur,"Ankara, Ankara, Turkey",,solo,Ankara
Umut Karadağ,"Ankara, Ankara, Turkey",,solo,Ankara
Semra Dinçer,"Ankara, Ankara, Turkey",,solo,Ankara
Şirin Pancaroğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Gökçe Kılınçer,"Ankara, Ankara, Turkey","London, Greater London, United Kingdom",solo,Ankara
Rektal Tuşe,"Ankara, Ankara, Turkey",,grup,Ankara
Tolga Tekin,"Ankara, Ankara, Turkey",,solo,Ankara
Umur Turagay,"Ankara, Ankara, Turkey",,solo,Ankara
Scalprum,"Ankara, Ankara, Turkey",,grup,Ankara
Scalprum,"Ankara, Ankara, Turkey",,grup,Ankara
Birsen Dürülü,"Ankara, Ankara, Turkey",,solo,Ankara
Hound,"Ankara, Ankara, Turkey",,solo,Ankara
Sumru Yavrucuk,"Ankara, Ankara, Turkey",,solo,Ankara
Kıvanç Sezer,"Ankara, Ankara, Turkey",,solo,Ankara
Ahmet Fuat Onan,"Ankara, Ankara, Turkey",,solo,Ankara
Sema Atalay,"Ankara, Ankara, Turkey",,solo,Ankara
Nisan Akman,"Ankara, Ankara, Turkey",,solo,Ankara
Nusret Çetinel,"Ankara, Ankara, Turkey",,solo,Ankara
Bora Karakul,"Ankara, Ankara, Turkey",,solo,Ankara
Temiz İş,"Ankara, Ankara, Turkey",,grup,Ankara
Dreamtone,"Ankara, Ankara, Turkey",,grup,Ankara
Bam Bam Bam,"Ankara, Ankara, Turkey",,grup,Ankara
Renan Demirkan,"Ankara, Ankara, Turkey",,solo,Ankara
Elif Nur Kerkük,"Ankara, Ankara, Turkey",,solo,Ankara
Munimonde,"Ankara, Ankara, Turkey",,solo,Ankara
Grangulez,"Ankara, Ankara, Turkey",,solo,Ankara
Hande Dalkiliç,"Ankara, Ankara, Turkey",,solo,Ankara
Emrah Yardımcı,"Ankara, Ankara, Turkey",,solo,Ankara
Ezhel,"Ankara, Ankara, Turkey",,solo,Ankara
Altan Akışık,"Ankara, Ankara, Turkey",,solo,Ankara
Marblesun,"Ankara, Ankara, Turkey",,grup,Ankara
Elif Dağdeviren,"Ankara, Ankara, Turkey",,solo,Ankara
Ayla Büyükataman,"Ankara, Ankara, Turkey",,solo,Ankara
Nadas,"Ankara, Ankara, Turkey",,grup,Ankara
Sufle,"Ankara, Ankara, Turkey",,grup,Ankara
Akrep Nalan,"Ankara, Ankara, Turkey",,solo,Ankara
Tayfun Sav,"Ankara, Ankara, Turkey",,solo,Ankara
Devrim Yakut,"Ankara, Ankara, Turkey",,solo,Ankara
Alper Babayağmur,"Ankara, Ankara, Turkey",,solo,Ankara
Bora Sivri,"Ankara, Ankara, Turkey",,solo,Ankara
Bülent Helvacı,"Ankara, Ankara, Turkey",,solo,Ankara
Doğu Akal,"Ankara, Ankara, Turkey",,solo,Ankara
WoeDen,"Ankara, Ankara, Turkey",,grup,Ankara
Uraz Kıvaner,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,Ankara
Carnac,"Ankara, Ankara, Turkey",,grup,Ankara
Lila Gürmen,"Ankara, Ankara, Turkey",,solo,Ankara
Muammer Koçak,"Ankara, Ankara, Turkey",,solo,Ankara
Çağdaş Çağrı,"Ankara, Ankara, Turkey",,solo,Ankara
Özge Fışkın,"Ankara, Ankara, Turkey",,solo,Ankara
Ergun Simsek,"Ankara, Ankara, Turkey",,solo,Ankara
Burkay Doğan,"Ankara, Ankara, Turkey",,solo,Ankara
Şinasi Özonuk,"Ankara, Ankara, Turkey",,solo,Ankara
Cem Cücenoğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Cemre Melis Çınar,"Ankara, Ankara, Turkey",,solo,Ankara
Saspent,"Ankara, Ankara, Turkey",,grup,Ankara
