isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
Özlem Taner,"Gaziantep, Gaziantep, Turkey",,solo,Adiyaman,,,,,,,turkish folk
İkra,"Elazığ, Elazığ, Turkey",,solo,Adiyaman,,,,,turkish hip hop,,
İlyas Salman,"Arguvan, Malatya, Turkey",,solo,Adiyaman,,,,,arabesk,,turkish folk
Şirin Üstün,"Arguvan, Malatya, Turkey","Stuttgart, Baden-Württemberg, Germany",solo,Adiyaman,,,,,oyun havasi,,
AYYUKA,"Eskişehir, Eskişehir, Turkey","İstanbul, İstanbul, Turkey",grup,Afyonkarahisar,0wVMkLE2htJSq6K3AYMuig,34462.0,23.0,anatolian rock,anatolian rock,rock,turkish jazz
Allame,"Trabzon, Trabzon, Turkey","Eskişehir, Eskişehir, Turkey",solo,Afyonkarahisar,25FdziPY37yQIRXSk7ZUmS,459759.0,52.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Armonycoma or slt,,,solo,Afyonkarahisar,2Oojkno1dGpH4YzvG6qVw2,4934.0,12.0,"turkish hip hop, christian pop","turkish hip hop, christian pop",rap,
Armonycoma or slt,,,solo,Afyonkarahisar,2Oojkno1dGpH4YzvG6qVw2,4934.0,12.0,"turkish hip hop, christian pop","turkish hip hop, christian pop",rap,
Ayla Dikmen,"Kütahya, Turkey",,solo,Afyonkarahisar,74VZuXJwRTaBExjMhYBYi4,206239.0,51.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",pop,
Ağaçkakan,,,solo,Afyonkarahisar,7ssDDQAUFA9Z5k5VbbqYxg,31577.0,31.0,"turkish hip hop, experimental hip hop","turkish hip hop, experimental hip hop",,turkish hip hop
Ağaçkakan,"Ankara, Ankara, Turkey","Eskişehir, Eskişehir, Turkey",solo,Afyonkarahisar,7ssDDQAUFA9Z5k5VbbqYxg,31577.0,31.0,"turkish hip hop, experimental hip hop","turkish hip hop, experimental hip hop",,turkish hip hop
Cahit Berkay,"Isparta, Isparta, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,0aUFnapWUvRIYJL6i3Jf60,12491.0,30.0,anatolian rock,"anatolian rock, karadeniz folk",,turkish psych
