isim,Spotify_ID,Followers,Popularity,Spotify_Tur,EveryNoise_Tur
Kargalar,455ZYvNb3kkVGoh21NgQdy,1984,11,"cold wave, darkwave, gothic rock, post-punk",turkish post-punk
altan,4g77W7Bz0EIPzwzqq2ssD0,1774,16,"cold wave, darkwave, gothic rock, post-punk",turkish post-punk
Merry's Funeral,4IBkARyYJK3sAmRjDjts1b,1154,3,"cold wave, darkwave, deathrock, gothic rock, post-punk",turkish post-punk
light motiv,6rLXE13y3DrO2mZ8GJqJsZ,907,4,"darkwave, post-punk",turkish post-punk
Reptilians From Andromeda,2KmbKuPSvcdCiqmc9SGXmY,879,0,"darkwave, hardcore punk, horror punk",turkish post-punk
Saturn Bar,4lRU7XoZvmeyNmnmEPNLwi,848,3,anatolian rock,turkish post-punk
Rain To Rust,47T2NLxDhuiqOs21aQbn1R,575,1,"cold wave, darkwave, deathrock, gothic rock, post-punk",turkish post-punk
The Revolters,5bQSoDHowfCveOPzBp4ZOP,467,0,,turkish post-punk
Cetacea,4G7Jkks8yUK0T2EOUNlVqu,451,5,hyperpop,turkish post-punk
Onat Önol,4aNIICd6SEhlmzHR5Rx2B1,367,0,slowcore,turkish post-punk
Sumatran Black,2TgJwBhP3wZIkExGvD62yr,316,1,"ambient, dark ambient, drone, space music",turkish post-punk
Fragile Self,4o5o1mXKVERjT2n2uKkv9X,310,0,"cold wave, darkwave, post-punk",turkish post-punk
Black Box Memories,4vK9a0O2O8knldVJouCdz5,294,1,drone,turkish post-punk
Morunay,6kPQwyEMwAzdSBEGFNOiPF,275,0,,turkish post-punk
Ben Utanırım Sen Söyle,0v4bm2x5N0hpt5vvg9igYT,253,0,darkwave,turkish post-punk
Oscuridad Eterna,6cOQFTV6RQt9INPplLbman,251,0,"cold wave, darkwave, deathrock, gothic rock, post-punk",turkish post-punk
NEMF,2hlHEWeS9MGh2iZ0sXs04h,248,17,"darkwave, post-punk",turkish post-punk
N.L.P.,5HWflpE6gKZqRl0h9wgg7L,226,0,"cold wave, darkwave, post-punk",turkish post-punk
Zabb,2tEUj53FzilOoP00MNHs3t,201,0,"anatolian rock, darkwave",turkish post-punk
Archura,3mE01qNIt2WYbCEbWAatEz,188,0,"cold wave, darkwave, industrial rock, post-punk",turkish post-punk
To My Lonely Sik Kid,5goO0p0RZnB7wUcbEQFYRc,183,6,"darkwave, post-punk",turkish post-punk
The Sick Bags,2Kdm9Lq41IvzPZ6w0WfBvG,182,0,,turkish post-punk
Urværk,0abyTDxu0rtA6TFxpUrsWM,179,0,"cold wave, darkwave, industrial rock, post-punk",turkish post-punk
The Moon Illusion,30MfNYBz9mFXJXYx1tQnE1,163,0,"cold wave, darkwave, industrial rock, post-punk",turkish post-punk
Dead Man's Dream,5nxUjWgfBID22uuceN0ciY,150,0,"darkwave, gothic rock, post-punk",turkish post-punk
Akın Çalap,3zgqZYAdGUmt5WhuYFkaIL,146,0,darkwave,turkish post-punk
Odadaki Fil,4hNAXm7TMMc6zHzHihDA60,139,0,post-punk,turkish post-punk
Yolcu,566uHp5iRv2tJYa2nSPEoV,138,0,"darkwave, industrial rock, post-punk",turkish post-punk
Solardip,1DNXgayAunH2thtL1q2s4l,133,0,"cold wave, darkwave, industrial rock, post-punk",turkish post-punk
The Free Licks,3XGs6m1VGcfJa8REvojP35,131,0,darkwave,turkish post-punk
Astronot,3fIFSsIat6Cy01beVISJq7,60,0,"cold wave, darkwave, industrial rock, post-punk, synthpop",turkish post-punk
Evren Svren,54BN04OnrxJKahfvVZ8rqG,60,0,"cold wave, darkwave, ebm, post-punk",turkish post-punk
Groupie & Star,5kMqHCWEk2bkaaexmxELTX,54,0,"darkwave, post-punk",turkish post-punk
Hayri Okçu,4HqbvSwGXYBzl9ErfBLEGJ,48,0,"darkwave, post-punk",turkish post-punk
The Lynch,6gEdrUzr0BTWeJiBQUc2h6,45,0,"cold wave, darkwave, post-punk",turkish post-punk
Ajda Pekkan,27XMnTLvCO7t3qGlQyTMkF,1053050,61,turkish pop,turkish psych
Kamuran Akkor,1hWI1MD4Pe3cgDsgk4eLfR,646718,56,"anatolian rock, arabesk",turkish psych
Altin Gün,37PL04N8kBWWW69jdrMMWT,396278,48,"anatolian rock, neo-psychedelic, psychedelic rock",turkish psych
Neşe Karaböcek,2LyOwgMY8RSQU5iK9rHj0B,301249,42,"anatolian rock, arabesk, turkish pop",turkish psych
Esmeray,5LbgJGRCmR9pgCxVkBDZw6,162903,44,"anatolian rock, arabesk",turkish psych
Füsun Önal,2eyRlGrwDq4JBGGdZ9vjDn,75100,41,"anatolian rock, turkish pop",turkish psych
Lalalar,6CWQ7KWveleaeFagKCz26T,62491,31,anatolian rock,turkish psych
Ansızın Bi' İnfilak,1pVBijnEtdQcntEOXgPv3S,59742,15,,turkish psych
Derya Yıldırım & Grup Şimşek,2Y0SH69uxHrHrjiZCuTSaT,44174,35,"anatolian rock, neo-psychedelic",turkish psych
Timur Selçuk,73YEiqiNBK1fdSIHpJFuGO,40502,27,"anatolian rock, turkish pop",turkish psych
Asu Maralman,49cht9n59NXoBFK1gIolXJ,40135,37,"anatolian rock, turkish pop",turkish psych
Rana Alagöz,5L7Hl11e6LAeNWfvs5siH4,38049,40,"anatolian rock, turkish pop",turkish psych
Marc Aryan,3VtbhVouqBjeReY1vU8IHw,27395,33,anatolian rock,turkish psych
Nur Yoldas,5ayzrYOahi5XNF9eRwYMKv,21166,41,"anatolian rock, turkish pop",turkish psych
Erkut Taçkın,4GJuQAAePQH9qyr9Bj0Xv3,20956,26,anatolian rock,turkish psych
Beyaz Kelebekler,0CdO8pNYr6JdJPTnf7D1Nw,18699,22,"anatolian rock, turkish pop",turkish psych
Ersen ve Dadaşlar,57yBhz7PaImYhNjRoM22QA,15381,22,anatolian rock,turkish psych
Erol Büyükburç,5Mi0CfVFTACW7wclXpIA6G,14472,27,"anatolian rock, turkish pop",turkish psych
Derya Yildirim,3sOZwUEz343zQBrsgfXEO7,14148,25,anatolian rock,turkish psych
Selçuk Alagöz,3JfDOKDXkrtMc2S4mX1KJC,12351,39,"anatolian rock, turkish pop",turkish psych
Mustafa Özkent,7AIG5iIr8bQomw1pGrwZZ4,10149,16,"anatolian rock, neo-psychedelic, psychedelic rock",turkish psych
Modern Folk Üçlüsü,5HL2vpJK88hFoujHGpklWg,8618,23,"anatolian rock, turkish pop",turkish psych
Hülya Süer,1WmeQpAqHEYyNo0SEmBvLQ,8454,23,"anatolian rock, arabesk, karadeniz folk",turkish psych
Fairuz Derin Bulut,2tR1YwHxrGk9rUrqvYgoeT,8357,10,"anatolian rock, arabesk",turkish psych
Kemal Sunal,6yBIUFqFzrJY4h8hL2oNlG,8200,20,"anatolian rock, arabesk",turkish psych
Esin Afşar,4ATXCu84e0P0q5QLzkMsaT,7840,21,anatolian rock,turkish psych
Nazan Şoray,0FVsp4rfVEvyJV9iB1a3Er,7668,19,anatolian rock,turkish psych
Zafer Dilek,16haAKwdzQGlVMQJlQydLP,6889,23,"anatolian rock, oyun havasi",turkish psych
Osman İşmen,25guZxbxESYr5Jo4iqPPHw,6411,22,anatolian rock,turkish psych
Cahit Oben,2O8jY0TevDFs7R9tzkh4SH,6300,5,anatolian rock,turkish psych
Bunalımlar,3IGe2bNGoPYv9g4sKONiuP,5561,9,"anatolian rock, psychedelic rock",turkish psych
Dinar Bandosu,6meuoaqQV5oqfQClbZ39wm,5543,2,anatolian rock,turkish psych
Akbaba İkilisi,0kXQyMSf8au9PYtga3jIta,5187,25,"anatolian rock, arabesk, oyun havasi",turkish psych
Tpao Batman Orkestrası,0ncL8FvlORXjk58ZTi8cAq,4629,13,anatolian rock,turkish psych
Derdiyoklar İkilisi,4Z7tFrFLO28HYlLFHqgOcb,4400,14,anatolian rock,turkish psych
L.S.D. Orkestrası,3VVhnJLSa4XYbzvBTOGCOB,3838,14,anatolian rock,turkish psych
Esin Engin Orkestrası,2p9v66KrdQ5nLy6TzxpKEB,2912,23,"anatolian rock, oyun havasi",turkish psych
Aziz Azmet,4vNXPhLkry7MKEnpSeHAA5,2735,17,"anatolian rock, psychedelic rock",turkish psych
Meteor,0FPE4CVRqciLRHr2LyMziq,2173,6,anatolian rock,turkish psych
Ünol Büyükgönenç,422XRyh8cTAry2xsyCMlWA,2128,14,anatolian rock,turkish psych
Urfalı Babi,2O5KqSe1rv8Ekl7qHKcCUz,2116,14,anatolian rock,turkish psych
Gülcan Opel,73FZxWgGK4cWAxHE0A0imJ,2075,6,"anatolian rock, arabesk",turkish psych
5 Adım,04eZGVPAV1L0iSFin5z7xZ,1882,10,anatolian rock,turkish psych
Tünay Akdeniz,79sqxHfpsKFnyXH7rdnwv6,1588,4,"anatolian rock, psychedelic rock",turkish psych
Osman İşmen Orkestrası,3xJQsVjolw4BC8ZNqT6o5c,1498,6,"anatolian rock, turkish pop",turkish psych
Grup A1,1kNBFBrsEXnFGOjz6mGRDp,1484,9,anatolian rock,turkish psych
Nejat Yavaşoğulları,7fXsnTafGVw9DWQiFLlhsk,1370,13,anatolian rock,turkish psych
Rıfat Öncel,4XzmruymUdzDg01OSh4YLg,1308,3,"anatolian rock, psychedelic rock",turkish psych
Okan Dinçer,5nesu3Nn5DH9795RTZ0m9c,1304,9,anatolian rock,turkish psych
Kerem Yılmazer,5lN3QjtFAhtgKAlMG6p6VX,1266,2,"anatolian rock, turkish pop",turkish psych
Şençalar Kardeşler,2AjJLGvkqAGMip9lVOPFvr,1258,12,"anatolian rock, oyun havasi",turkish psych
Şakir Öner Günhan,6LU1rZGXuW6kz3dOl631bQ,1256,5,"anatolian rock, oyun havasi",turkish psych
Rüya Çağla,2GkGi4SBVwaqaAOOS6K3UH,1122,6,"anatolian rock, arabesk",turkish psych
Grazia,7db1UdUNG55lg0ez6Nmkjy,1062,5,"anatolian rock, mizrahi",turkish psych
Ersen,5Yax3FhwZSr1xiRlwnQ6bV,987,1,anatolian rock,turkish psych
Neşe Alkan,5n65eyRLZNsg9dlT1GZ3pg,845,8,anatolian rock,turkish psych
Mesut Aytunca,2lj2FOCqf7ltBkZZzJsaac,735,4,anatolian rock,turkish psych
Aşık Emrah,6FfZ16JTZUq3GlHZnlUXog,730,3,anatolian rock,turkish psych
Edip Akbayram ve Dostlar,3FZZvAtXxVxyzjNKptWQxu,721,6,"anatolian rock, psychedelic rock",turkish psych
Atilla Yelken,3xbh2Avzz7tXJgRJwOsGfv,691,0,anatolian rock,turkish psych
Dostlar,2Nuim4niyKEYZS61asHVS4,548,,"anatolian rock, arabesk",turkish psych
Kerem Güney,6WVNBhdKt9Y3BbLfH2sN1i,474,3,anatolian rock,turkish psych
Elvan Sevil,4AUbikJmi4LeZbI77jAZL7,297,1,anatolian rock,turkish psych
Kahan Candan,72fctEjeweXNkLPAUW1kYJ,214,5,"anatolian rock, oyun havasi",turkish psych
Doruk Onatkut Orkestrası,5TIkZVafEHvumRrXRUSC3r,173,1,"anatolian rock, oyun havasi",turkish psych
Kayhan,7qaIiROIXaqMnyuiDClS02,149,0,"anatolian rock, psychedelic rock",turkish psych
3 Ozan,2wdahfzAhUbcrkbxFCBtcj,60,0,"anatolian rock, psychedelic rock",turkish psych
Cevat Sedef,2DvGA4x37vqcUrNeo1wHJ1,59,0,anatolian rock,turkish psych
Ayşe Cemil,3Wtfh94o66mP3ylaMtzU4W,19,0,"anatolian rock, psychedelic rock",turkish psych
Senay,6SJ2tZ0byPSxEBEb2tbQQN,7,,,turkish psych
Second,0hB4oP2Xs7bmAb3W5dHwsi,35802,32,punk,turkish punk
Cemiyette Pişiyorum,2XmnmKZOUs81vZir5GrkfC,34326,32,punk,turkish punk
Kilink,2DtbWLrgk0q6OU2SlXafgT,27282,29,punk,turkish punk
Padme,1WU56HE9uPG3ESLhxQzRNz,23296,25,punk,turkish punk
Düz Mantık,7ptt5bE4HdTqAPwaLTtz8B,14293,23,punk,turkish punk
Asperger,1Dp5eaEjsCbHi8PkiAdPD2,13243,17,punk,turkish punk
Hedonistic Noise,49GZXacm1ImIxt7vCioeX5,12808,19,punk,turkish punk
Less,7kyJBrXd2GamnMok7E4GRK,10004,19,punk,turkish punk
The Punk Panther,0YQxynzye9JDr9rC45SS8h,7564,15,punk,turkish punk
Drunk High Jinks,72Slh4pxTAFJFKIKoiyaCo,7265,13,punk,turkish punk
Sokak Köpekleri,2DdSP5ziGPLzSKcJrwcoFw,7153,11,punk,turkish punk
Zibidiler,0IEtM1CBYCViwATh6Xnpcq,6880,15,punk,turkish punk
Kozmik Yıkım,2A0hxAnO5bInvp12bpHsoS,6639,8,punk,turkish punk
Kaste-Ekom,6VjTwFkVJIeMfwI1a2xZ92,6511,15,punk,turkish punk
Bam Bam Bam,21GigkLylCHWsUECsDolnV,6019,8,punk,turkish punk
Frozen Clouds,0M3LK8CPC8luVRntRVHwAp,4459,23,,turkish punk
Zaman,4NzRUpsWOXv82mj7jKtBwE,4231,12,punk,turkish punk
F.Ö.K.,4m90JSy0Q2tWjT51OUZnsW,3778,13,punk,turkish punk
As My Life Falls Apart,2RRx4IewUPNCJ8HWeK0UjB,3588,9,punk,turkish punk
Holistic Tsunami,1xfQ2Xz50S0H5btFc1sXRs,3362,13,,turkish punk
Project Youth,3QGkhHw8r8ulzp0OQquRd1,2670,3,punk,turkish punk
Tembel Cızırtı,5OADcRUs7rxYkl6Ttaqg2C,2583,5,punk,turkish punk
Kaptan Anadol!,4oLgU3mrqe9vIQtGiP40hD,2340,2,punk,turkish punk
ali güleç,5E7E96Zq2vMVAqV2fingxL,2142,3,,turkish punk
Yancı,3RwQXw7dO80h3INEL6Wcbd,1934,6,punk,turkish punk
deney,1LPAUp6BT1y9sKnERsaWlC,1898,3,punk,turkish punk
Potasyum,4narOjCN8ikekIg0WDKsXn,1761,3,punk,turkish punk
Bunu Sen İstedin,1boN2FjHsV2vUEWWR3uFK9,1666,7,punk,turkish punk
Onur Turk,0jHagitcdxNhxBwIqI3kiZ,1647,4,punk,turkish punk
THE AYILAR,7xGRnPGoHQbmxg7hPg9KHQ,1544,5,punk,turkish punk
Kent Coda,6ktA5kVUhTFcKAUHnRaZ5s,1496,5,,turkish punk
Baan,0FHXGKXwE6hXD4Ew2K5vom,1482,5,punk,turkish punk
Bükük Taso,1sAtfIhWetaq7cecvPyEic,1473,1,punk,turkish punk
Rapor 2,1g15Lb54J2liyvMdjlaaSX,1427,4,turkish hip hop,turkish punk
Glabrezu,5m44gDP5OEVr3hHP7xWulL,1346,2,grindcore,turkish punk
Sanchos,1luQ8a90XJMCAY84DHTraI,1227,2,punk,turkish punk
Evden Uzakta,5CjD9DRMrlFUTqosMIutYF,1139,2,,turkish punk
Punkat,0HcgRw1ijMkR2wwFWNclJe,982,2,punk,turkish punk
Hexa Boom,0KE2lViA62kEPSdLZ0hKb5,906,0,,turkish punk
Şaka Yapıyorum,1EelGELW5U4wwu57r4xJVo,863,2,punk,turkish punk
Yürüme Mesafesi,1sufI0npnojWEMxXJb9xlj,857,0,,turkish punk
H.I.S.,5hIuCGryY4ZKQ6VKrE45AY,787,2,punk,turkish punk
Takeoffyourpants!,3P9JVNOXOo0I3nL3gnhwLe,760,1,,turkish punk
The Young Shaven,7pjGuRNmgGzow6GpqP5ta7,714,1,,turkish punk
katilgoril,5i46VNTRqouTCCWI5gyKA8,686,2,punk,turkish punk
Buhran,4bqG9GQHeYmICon3JOTV9U,645,1,egg punk,turkish punk
Lifelock,5k08zDe1I9UoG6WSqTErFP,627,0,punk,turkish punk
Melted,6CCO811nV9KLsoy9GghW56,557,0,,turkish punk
Bekçiler,4awK5dTXRwq8eLXW7ceE0s,506,0,punk,turkish punk
Çıkıntı,59ht8hnDcExH0PaJFVLTcX,483,0,,turkish punk
NeoKlasik,6ZWZcxapEAVnsMY24ak9xS,470,0,punk,turkish punk
Secondhand Underpants,0EcB4pGTZwwB6b6OkEUzBt,336,0,riot grrrl,turkish punk
Kirpi,3H8xtoheg0uVz3xdzCaGGv,313,5,anatolian rock,turkish punk
Kara Cephe,2w8tA7oBgTXyzWNJRfVw1g,302,0,,turkish punk
Deli,07WQgafb3dJX0JvmcKG19h,289,1,punk,turkish punk
Moment,2MMJyUsodlFM7t45z0n5LH,242,0,,turkish punk
Demir Arslan,0UJLWquoT2hJWckg5ajPnH,233,0,,turkish punk
HAZARD,51NbDcN4ttQ4k6K505l6xH,209,0,,turkish punk
Trubadoor,6tCddAlzXej79TOS5N1WHS,204,0,,turkish punk
Autehm,13M2ZBOR3c31XJU0EhKjek,138,,,turkish punk
My Pen Is Big,5GCLxoIAYixtph98sgSaal,130,0,melodic hardcore,turkish punk
Rob Noisy,6IfMjYMX09MXayy49TAXSW,111,0,,turkish punk
Across The Wall,5UgBJHLyJjWgePTuZzH0zV,62,0,,turkish punk
To Infinity,4WXAQq3wxr1b3ut0OhiCdw,23,0,,turkish punk
Peyk,6gPaETmwMTVwGdrd5eIiog,95221,39,,turkish reggae
90 BPM,7JCJA9JUFT138Nuivyxp9n,63853,34,turkish hip hop,turkish reggae
Sattas,0VWRXoE547qHGpUemsl1ge,51166,37,,turkish reggae
Ragga Oktay,1dp13r1d5Mp119KCR4BQvw,30446,53,"arabesk, turkish pop",turkish reggae
Elektro Hafiz,4Q9yGZQsMETYOq7TJnFlkA,16632,27,anatolian rock,turkish reggae
Bandista,5E3WsBnwUGcCEoySBZRtFD,15833,26,,turkish reggae
Yolda,29QW13aiZrkE9ATvvVoUPk,11006,26,,turkish reggae
Bosphoroots,6vC6fiFQ9XBzM1cUA1ehLp,10129,19,,turkish reggae
Komik Günler,6ardoKBGtdUvsJYlBeoxnn,6904,10,,turkish reggae
Düşbaz,7d2DzhQp5BufpxLps5aZSh,5402,23,anatolian rock,turkish reggae
Hariçten Gazelciler,2piV0LhvMlRHmqNxUC0kS3,4956,13,anatolian rock,turkish reggae
Ben Büdü,5uWSTChLUg0pNhLuAA13H3,4285,19,turkish hip hop,turkish reggae
Dalganabak,4m6V0FpjMFj2ZpDPvu6agD,3646,5,,turkish reggae
Zeytin,67dN7hQ6OskLPVDMaC8iQM,3357,9,,turkish reggae
Hakan Vreskala,1lU6YvDWVvUChLzjBsw0iz,3356,15,organic house,turkish reggae
Skastika,10xfGa71sYhrEWmO7H6aft,3340,7,punk,turkish reggae
Beton Orman,7lvEffGkcReSEkDjMzdAE2,1685,5,turkish hip hop,turkish reggae
Entu,6AAvI6ipXZUY9ALP3mLFpI,1583,2,,turkish reggae
Afel,0uUf0uwMWqfJ0iTeNgWoUk,1582,13,turkish hip hop,turkish reggae
Koala Reggae Band,5N2eI2TNv0KQHSwjwnSFkW,1486,0,,turkish reggae
Praksis,1paa8WFxXGr7VBWgfJJHbe,1465,3,,turkish reggae
Goril,2w59TRaNfrw5wIqqRlRM2z,1249,6,,turkish reggae
Oneblood,0DhneGSOiDgMNUPLbfzBRa,1219,7,turkish hip hop,turkish reggae
Mert Canka,2MA49rrRN3DY6omQyjOEAs,1197,8,,turkish reggae
Genjah,1SHt7sgmTqX8Hj1HZGvCQY,1046,10,turkish hip hop,turkish reggae
Hanao,4GGm4WCSO8lXb4Z3YvoneL,972,24,turkish pop,turkish reggae
Levent Özer,5kTuAiyzJ8H4mFCeq8RaVb,926,6,,turkish reggae
SUPERNOVA Reggae Band,4QCui1KA4fvPcUuCQwATe4,852,2,,turkish reggae
Bunfyah,0chdiUtdJBgB8LKgE7od4N,701,4,,turkish reggae
Captain Kubar,4U2cpCH23Lf7YqWw5hBaZp,589,1,,turkish reggae
Kinyas OZ,0hD8r5rYw71pnnaK6ftTbR,479,4,,turkish reggae
Hakan Tuna,0upvoIIAfDPQ1hZHUVD76e,392,1,anatolian rock,turkish reggae
BİLADER,2E6QDbSn7LZd6KkHVhKxgQ,297,6,,turkish reggae
Dasti,6cl4CnHjzJGdRZbsVseucx,256,0,,turkish reggae
Yasin Bozkurt,0UgScd8ihLHGYlsr4MvS64,219,1,,turkish reggae
Alphadub,2ggOeqoxpNZiuvQMNHXGtJ,202,0,"dub, dubstep",turkish reggae
King Fifi,7y4ID7dOd4BTlGXiNhhCPe,197,3,,turkish reggae
Good Vibes,5TWG06O0i95YjL4DAe2l9Z,175,0,,turkish reggae
Mr. Freak,7EQwHo1MYRxKsuOEfbOPxU,149,0,,turkish reggae
Froggressive Dread Unit,2Jbz2IaHQpK4ZexpTut22J,136,0,,turkish reggae
Şebnem Ferah,74xBVPWYoSf5pvo5IkePRO,2811808,67,"anatolian rock, turkish pop",turkish rock
maNga,7rEIUw67hRTgievwuKQGSj,2751601,56,"anatolian rock, turkish pop",turkish rock
Teoman,40KlwpvpKEQtZTJgbml8lT,2653726,61,"anatolian rock, turkish pop",turkish rock
mor ve ötesi,5ixQSDvAMa5O758xG8MWXT,2648592,62,"anatolian rock, turkish pop",turkish rock
Pinhani,4Bdqzh78prwuqwInMb555P,2403220,57,"anatolian rock, turkish pop",turkish rock
Adamlar,1g4J8P1JWwanNyyXckRX5W,2241771,59,anatolian rock,turkish rock
Model,23xJQJM7peht77DF6YNEoq,1799043,62,"anatolian rock, turkish pop",turkish rock
Gripin,3Z814BstLaKbLqKHXsht8O,1659390,60,"anatolian rock, turkish pop",turkish rock
Seksendört,7IgzsWd4tWIn70uh6dAq8d,1477185,56,"anatolian rock, turkish pop",turkish rock
Yüksek Sadakat,3SrFQDUN5DXQDZc3kygriW,1437603,55,"anatolian rock, turkish pop",turkish rock
Tuğkan,2h1EEQ0lD01lPKDRGisvL4,1424261,54,turkish pop,turkish rock
İkiye On Kala,1HsQw7SuwmxSH4r2aqF9DB,1256696,50,turkish pop,turkish rock
Zakkum,70Ya7DKJEo20SAkxjirYnu,1229660,53,"anatolian rock, arabesk, turkish pop",turkish rock
Son Feci Bisiklet,4q2SZIdLq6YTc9cZLCclWc,1225820,54,,turkish rock
MFÖ,2jbrqAuwSdvwcMTbtvncND,1181280,51,"anatolian rock, turkish pop",turkish rock
Athena,1Hy8tdpH9ygqoohumHZqVl,1117261,51,"anatolian rock, turkish pop",turkish rock
Kahraman Deniz,3nF0yXDatdq9xV279nEs5X,1115404,57,turkish pop,turkish rock
Kolpa,1QZYklqR55tZ6b5mK4LD41,1053551,55,turkish pop,turkish rock
Manuş Baba,6p4UYgBKfV1XMDvD9KrtTv,1010686,54,"arabesk, turkish pop",turkish rock
Hayko Cepkin,3hzijSzD6IwOV4SY2SiWQp,881609,58,anatolian rock,turkish rock
Gece Yolcuları,21ppfKgGToa81HQE0kET5P,821640,47,"anatolian rock, turkish pop",turkish rock
Pera,1bzmtVU7jf2rRZJALkZA3j,788082,51,,turkish rock
Can Bonomo,3vJJGsSAF5zQegZo5sJEh6,776148,54,"anatolian rock, turkish pop",turkish rock
Pilli Bebek,63RFns47gk00mnHIQ8zTR1,524941,57,anatolian rock,turkish rock
Yeni Türkü,5Oo6D3FLRpWjgBn0mqfiA3,473109,46,"anatolian rock, turkish pop",turkish rock
Kargo,3eedpDhV8pocvTvTHLGq9R,460504,46,"anatolian rock, turkish pop",turkish rock
Mazhar Alanson,1CTvStsvYcGi6FfDHzNg0t,459629,46,"anatolian rock, turkish pop",turkish rock
Redd,3uW8VB9ixiNMAJBm7ZsBVT,391887,54,anatolian rock,turkish rock
TNK,4EJYpvhyY4gO4rjEeitXLa,361132,44,anatolian rock,turkish rock
Badem,27sJOP3QjNbw349IrcROwj,352230,44,"anatolian rock, turkish pop",turkish rock
Özlem Tekin,1Xwze1G0zfRnxqBDfmWVVf,341697,48,"anatolian rock, karadeniz folk, turkish pop",turkish rock
Bulutsuzluk Özlemi,1x59izw7Q1MpfZyzJpTfb4,329747,37,"anatolian rock, turkish pop",turkish rock
Ogün Sanlısoy,6pLClLDuEeB6KdfvPblHSq,316554,45,"anatolian rock, turkish pop",turkish rock
Gece,6rGDR3wmkz5DKMrZxpO1mZ,282336,39,anatolian rock,turkish rock
Düş Sokağı Sakinleri,2QsEbhCFyEzogaOtMYeXO4,276511,34,"anatolian rock, turkish pop",turkish rock
yirmi7,1vnJ4IgK3BOqkGQ38RqAvs,275810,49,"anatolian rock, turkish pop",turkish rock
Demir Demirkan,0ONcicRZwAgDDZyeWrLia3,230990,37,"anatolian rock, turkish pop",turkish rock
Can Gox,5Z0rUIkdvlnx6JYqcC4aU0,202766,40,anatolian rock,turkish rock
Yavuz Çetin,4inwzuD2iBZK8Ck3ft7Wlk,164848,39,"anatolian rock, karadeniz folk",turkish rock
Kurban,5QpQ8Zu2s3aMjYf88au1Le,159110,40,anatolian rock,turkish rock
Pamela,3JAjt6oAXVTMvCYHsc0tIC,149820,51,"arabesk, turkish pop",turkish rock
Umut Kaya,0yXr7HHsbJlVaU8kBhRcny,140667,46,"anatolian rock, turkish pop",turkish rock
Nev,65170sSbRuGS67eqSooUam,137504,42,"anatolian rock, turkish pop",turkish rock
Malt,4acjV5gpm2vHLWpGvQ77DL,114865,38,anatolian rock,turkish rock
Ferman Akgül,6cBRNsetPDbFYEYfd62XMc,101481,38,turkish pop,turkish rock
Gri,3sltpNaXc0CwYw044dhNb5,100973,23,,turkish rock
Cem Kısmet - Pilli Bebek,3ndeiYWN80pvSxGVrOU1CU,96150,48,anatolian rock,turkish rock
Fikri Karayel,5ZBjBEf13SNZDLCzjAiWfn,90945,37,turkish pop,turkish rock
Multitap,1lewMbg4IoeBW024BuTviN,82327,32,,turkish rock
Vera,6FuP3iXROMCITNRbUJIRC3,80212,32,,turkish rock
Kaç Canım Kalmış,4XEcREbtD8It6OcaRpsFJJ,79023,23,,turkish rock
İlhan Şeşen,75KT1xL5AnkFyiKGPS67PI,71015,43,"arabesk, turkish pop",turkish rock
Piiz,3K2LeXoWGM9YnbtrRj4WS3,50212,26,anatolian rock,turkish rock
Koray Candemir,1ADiE0HDex6LvYpEAuUIzi,46764,28,anatolian rock,turkish rock
Kalabalık Bando,0GNTnTMxz71h7uuEjWq8Nc,35907,16,,turkish rock
Batuhan Mutlugil,73UTp1X3auvO2JT0BuyZUU,18814,24,anatolian rock,turkish rock
Güntaç Özdemir,22PYw0Eifwjk27N6MrWkKO,10247,26,,turkish rock
Harun Tekin,3YLtyoQh7TVuUheVE2lNp6,7086,18,,turkish rock
Redd,6SCY6hncB80WWFCcs0uu2y,6751,8,,turkish rock
Fatih Erdemci,1OhpnvMZLbqa46ZCNdMmwr,4452,27,turkish pop,turkish rock
Atlas RB,6ErGolm7HqWBLd0dZVpNh9,3923,11,,turkish rock
Asli,7sfUcF4Eh126NF1YD9dks2,29,0,,turkish rock
Cem Adrian,2AWUCT9xtcvkjpFq1ZgpPj,3776672,59,"arabesk, turkish pop",turkish singer-songwriter
Sertab Erener,4W31XN2JH8mC54NkHdh04s,2375503,66,turkish pop,turkish singer-songwriter
Kalben,4sldxVDeyb0J8OMoYApqfV,1247335,61,turkish pop,turkish singer-songwriter
emre aydın,66vIaZFb8okZH0npc4eQ5q,1168922,58,"anatolian rock, turkish pop",turkish singer-songwriter
Nil Karaibrahimgil,1PpRPZXSS5ka7m5NW2TO7q,1064337,53,turkish pop,turkish singer-songwriter
Nazan Öncel,4li4dx5mFgZlMVeHlARBHP,867545,58,"arabesk, turkish pop",turkish singer-songwriter
Ufuk Beydemir,00C6n2psbFm6XWqyPCXJ5v,752255,50,turkish pop,turkish singer-songwriter
Emre Fel,1kRAeenoDZ5jBdzboZQuKa,685251,,"anatolian rock, turkish pop",turkish singer-songwriter
Aydilge,0cjA9XY1jx3RlniZbMkCWy,646986,51,turkish pop,turkish singer-songwriter
Ceylan Ertem,2crPPfVdmrxn5yUHLQVqOI,610595,43,"arabesk, turkish pop",turkish singer-songwriter
Harun Kolçak,65DHllTFchsixkxABusOcR,460725,51,turkish pop,turkish singer-songwriter
Batuhan Kordel,53GzfAvawfKb966INeFp18,418437,49,,turkish singer-songwriter
