isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Barbaros Erköse Ensemble,Barbaros Erköse Ensemble,1EeFCz1APYnuoSDSXbRHET,325.0,Turkish Jazz & Instrumental,turkish instrumental,,,,
Ahmet Özgül,Ahmet Özgül,0iVYmzLgBo295bM5ljlZn7,323.0,Turkish Jazz & Instrumental,turkish instrumental,,,,
Saffet Genç,Saffet Genç,0lciGlt6lDrJqZ56PyJHn0,323.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,
Vedat Koşal,Vedat Koşal,5MQw63hRYjQhoWEnSTtrJg,322.0,Turkish Sanat & Klasik,turkish classical performance,,solo,,İstanbul
Cae$ar,Cae$ar,2j644m5gbIxHfbo4emxgrC,322.0,Turkish Hip Hop & Trap,turkce drill,,,,
Ahmet Erdogdular,Ahmet Erdogdular,6ombBZa5yHmpYvJxBAtA7A,322.0,Turkish Sanat & Klasik,turkish classical,sufi,,,
Aysu Çöğür,Aysu Çöğür,7eDe4a1Q35jQjyrzSXzT79,322.0,Turkish Jazz & Instrumental,turkish modern jazz,,,,
Bilge Nila,Bilge Nila,61Ge2KeegEtLgvFnbV1DAw,321.0,Turkish Pop,turkce slow sarkilar,turkish pop,,,
Fragile Self,Fragile Self,4o5o1mXKVERjT2n2uKkv9X,320.0,Turkish Rock,turkish post-punk,"darkwave, post-punk, cold wave",,,
Berk Çalışan,Berk Çalışan,05AZa661gLJKV2CJDBGyfP,320.0,Turkish Pop,turkce slow sarkilar,turkish pop,,,
Lucem,Lucem,4F740ux0w4oLxuoCUVyelk,320.0,Turkish Metal & Hardcore,turkish black metal,black metal,grup,grup,Kocaeli
Grumpic Disease,Grumpic Disease,5jo6YvaeRN479GQ7EMQ4Hj,319.0,Turkish Metal & Hardcore,turkish death metal,melodic death metal,,,
Vile Urn,Vile Urn,5j5tQ56pM7ezwciBaXBjwT,316.0,Turkish Metal & Hardcore,turkish metal,,,,
Alaeddin Gözetlik,Alaeddin Gözetlik,0szoIM41xYxmbH56WLySSN,315.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,,,
Magick,Magick,3c3w1pTCnVePVsszXwDzIX,315.0,Turkish Metal & Hardcore,turkish metal,,grup,grup,Ankara
Sumatran Black,Sumatran Black,2TgJwBhP3wZIkExGvD62yr,315.0,Turkish Rock,turkish post-punk,"drone, dark ambient, space music, ambient",solo,,İstanbul
Hiko Hikmetov,Hiko Hikmetov,1s5qNjdQJSwwz7JEuycKtT,315.0,Turkish Pop,turkce slow sarkilar,,,,
Kirpi,Kirpi,3H8xtoheg0uVz3xdzCaGGv,315.0,Turkish Rock,turkish punk,anatolian rock,,,
Kanat,Kanat,5LxE2pSAMQn4Yenleny7XT,315.0,Turkish Rock,turkish alt pop,turkish hip hop,,,
Arşi,Arşi,2BUEqconNQZsTMjwrrk9Ot,310.0,Turkish Pop,turkish trap pop,turkish hip hop,,,
İsmail Ceylan,İsmail Ceylan,5V5S0UWc13Fo46ujMJwHUa,310.0,Turkish Electronic,turkish deep house,,,,
Dagcan Erdurak,Dagcan Erdurak,6ip6Ij1aqyz6nLkDCvHwK7,308.0,Turkish Electronic,turkish deep house,,,,
İhsan Özer Kanun Orkestrası,İhsan Özer Kanun Orkestrası,5zlLSe7VIAeBNbF2Bfe49b,307.0,,qanun,,,,
C4TO,C4TO,5UidzoVPWNSYgzti6iINsU,307.0,Turkish Electronic,turkish edm,slap house,,,
Kara Cephe,Kara Cephe,2w8tA7oBgTXyzWNJRfVw1g,306.0,Turkish Rock,turkish punk,,,,
Fahriye Güney,Fahriye Güney,5Kf1u18yyOa6mDbQF1VqfU,303.0,Turkish Folk,rumeli turkuleri,oyun havasi,,,
Seth,Seth,2Enbt2HpCxbgdc8lzaLzld,302.0,Turkish Hip Hop & Trap,turkce trap metal,trap metal,,,
Ugur Can Yenal,Ugur Can Yenal,449G7gLPNjje4iXHFQ9RhN,302.0,Turkish Electronic,turkish edm,,,,
Daelkyr,Daelkyr,4lH3C5d4pDyNzCwZXRQBVz,301.0,Turkish Metal & Hardcore,turkish black metal,black metal,grup,grup,Antalya
BİLADER,BİLADER,2E6QDbSn7LZd6KkHVhKxgQ,299.0,Diger,turkish reggae,,,,
Seta Tanyel,Seta Tanyel,1M4FwoOeXUsY1hezBteWk9,298.0,Turkish Sanat & Klasik,turkish classical performance,classical piano,solo,,İstanbul
Süher Pekinel,Süher Pekinel,7xtxBbk8W0htAOXceavYlH,298.0,Turkish Sanat & Klasik,turkish classical performance,classical piano,,,
Elvan Sevil,Elvan Sevil,4AUbikJmi4LeZbI77jAZL7,297.0,Turkish Rock,turkish psych,anatolian rock,,,
No$art,No$art,0Rpv2rRsurmKePdYeRGxWw,297.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,
Onur Bilen,Onur Bilen,67dOuYtMck9sHl0i9GGbyf,297.0,Turkish Pop,turkce slow sarkilar,,,,
Black Box Memories,Black Box Memories,4vK9a0O2O8knldVJouCdz5,295.0,Turkish Rock,turkish post-punk,drone,solo,,İstanbul
Soulfly7730,Soulfly7730,5OvOTWZdc2MwbQS3NyXSHQ,294.0,Turkish Hip Hop & Trap,new school turkce rap,,,,
2GEIK,2GEIK,2TYEtfWOQ29NS5etBvNbCq,294.0,Turkish Hip Hop & Trap,turkce trap metal,trap metal,,,
Evren,Evren,4Qm9BvKCOtjq3UIb5vlaHI,294.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Kenobi Youngsta,Kenobi Youngsta,3dSIElZKDtUDcuu0vo7oIM,294.0,Turkish Hip Hop & Trap,turkce drill,,,,
Soul Rape,Soul Rape,05zigHF48U2OPFdbY2CW8Y,294.0,Turkish Metal & Hardcore,turkish black metal,"melodic death metal, death metal",,,
Recep Birgit,Recep Birgit,5QxYgUYZYLN3cvssS9uHwV,293.0,Turkish Sanat & Klasik,turk sanat muzigi,,,,
Slave Training,Slave Training,5fsELj7nBrWohGOOZJQ8K7,292.0,Turkish Metal & Hardcore,turkish hardcore,,solo,,İstanbul
Deli,Deli,07WQgafb3dJX0JvmcKG19h,291.0,Turkish Rock,turkish punk,punk,,,
Sociopath,Sociopath,7wCM7a7q5qnB3oAmH0RAkC,291.0,Turkish Metal & Hardcore,turkish black metal,hardcore punk,grup,grup,Istanbul
Cloud Theory,Cloud Theory,06Sz84qxE5DERRnfWNN9IK,290.0,Turkish Metal & Hardcore,turkish metal,"progressive metal, progressive rock",grup,grup,İzmir
Özgür,Özgür,6oQcQ9HBMX9jc4272vbWQB,288.0,Turkish Pop,turkce slow sarkilar,turkish pop,,,
Sceptic Age,Sceptic Age,4RF2Kwsl1CWvdo2DMrK3VV,286.0,Turkish Metal & Hardcore,turkish metal,thrash metal,grup,grup,Ankara
330,330,00b6xdFmvWmoLpJAoNZ04s,286.0,Turkish Metal & Hardcore,turkish hardcore,,solo,,İzmir
Cosmic Funeral,Cosmic Funeral,4T2hCo8X8jy47NVzYNRGNj,285.0,Turkish Metal & Hardcore,turkish black metal,black metal,grup,grup,Ankara
Mert Yucel,Mert Yucel,0Tl2SJZQc0Yuqkw70RgnvN,285.0,Turkish Electronic,turkish edm,,solo,,İstanbul
Uras,Uras,4OmbxMc7aTxUFHItqdH9zl,284.0,Turkish Rock,turkish singer-songwriter,,,,
Noisy Sins Of The Insect,Noisy Sins Of The Insect,0w74cWSp07xa2CSOiSaosV,282.0,Turkish Metal & Hardcore,turkish hardcore,"screamo, mathcore",grup,grup,İstanbul
Taner Yalçın,Taner Yalçın,1RS9U83OJPROnb5dxUJMe3,282.0,Turkish Pop,turkce remix,,,,
Solacide,Solacide,4c66wJm09TY2zq6Ok4baCs,281.0,,progressive black metal,black metal,,,
Lancaster,Lancaster,7N0jZvVpih0HRl4Hh7Glp4,277.0,Turkish Hip Hop & Trap,new school turkce rap,,,,
L.4TAR,L.4TAR,6gQC0wYm6hwE9ZbsjmRiAK,275.0,Turkish Hip Hop & Trap,turkce drill,,,,
Matodias,Matodias,16vChPYzb23foVnp5wY8Dk,275.0,Turkish Hip Hop & Trap,new school turkce rap,,,,
Kutad Alptürkan,Kutad Alptürkan,4AftB60m7Pxn9QphsMsHxz,275.0,Turkish Rock,turkish singer-songwriter,,,,
Deniz Candan Uzun,Deniz Candan Uzun,48fHweQJBg95r6Fs3bqakH,275.0,Tematik & Ozel,cocuk sarkilari,,,,
Çağla,Çağla,06OFDchtLqEa5E2ukO9dJO,273.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish pop,,,
Alp Tanata,Alp Tanata,4S3x1n8z1qzryMTCLpsAOF,273.0,Turkish Pop,huzunlu sarkilar,,,,
Bilal Ercan,Bilal Ercan,5lc0iC8GGVoqKrLVfq9Nay,272.0,Turkish Folk,baglama,arabesk,,,
Morunay,Morunay,6kPQwyEMwAzdSBEGFNOiPF,272.0,Turkish Rock,turkish post-punk,,,,
Crushem,Crushem,4mHLkBSPsLTCZWm3wyyXej,269.0,Turkish Metal & Hardcore,turkish metal,,,,
Cenk Ergün,Cenk Ergün,0oW6NTR9OG7a9yk7Dmhohp,268.0,Turkish Electronic,turkish experimental,"electroacoustic, musique concrète, avant-garde, experimental, big beat, contemporary classical",solo,,Princeton
Bosphorus Trio,Bosphorus Trio,4iISTUdU8SlqdfvVO8KJFo,268.0,Turkish Sanat & Klasik,turkish classical performance,,,,
Haram Tapes,Haram Tapes,2eBLwUtwpczmpY9qz2NWH4,267.0,Turkish Electronic,turkish electronic,dark ambient,,,
fragmentsofaprayer,fragmentsofaprayer,3N5MfIXHIvoHqskk1EIZab,267.0,Turkish Metal & Hardcore,turkish hardcore,metalcore,,,
Ceyhun Üsküp,Ceyhun Üsküp,41fn4udLcxXjXe5J4wlgWt,266.0,Turkish Folk,rumeli turkuleri,oyun havasi,,,
Nino de Murcia And His Spanish Ensemble,Nino de Murcia And His Spanish Ensemble,3wgcz66ZtzO3gW23WB1Oat,266.0,Turkish Pop,classic turkish pop,,,,
Cagri Guzet,Cagri Guzet,0uv5mLHvyo2KqG5mtlKfIx,265.0,Turkish Electronic,turkish deep house,,,,
PAN,PAN,3X4GsCdw66vp7NReTzIliP,265.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,,,
Özgür Atar,Özgür Atar,1cW42bGsIbxJ2VP7ZsRSTp,263.0,Turkish Electronic,turkish edm,,,,
Tolga Kurdoğlu,Tolga Kurdoğlu,4hlnpi6Sz9cZDRanDQ5vcX,261.0,Turkish Pop,karadeniz pop,,,,
GROZA,GROZA,3VmaK5w6HGzGWvGhHN65Lv,260.0,Turkish Metal & Hardcore,turkish metal,,,,
Mithat Fenmen,Mithat Fenmen,5PgmZLtnbv9ClH4yU8h6tf,259.0,Turkish Sanat & Klasik,turkish classical performance,,solo,,İstanbul
Hatred Barricade,Hatred Barricade,2pvFR2QIcgp7yZkOovK9O5,259.0,Turkish Metal & Hardcore,turkish hardcore,hardcore,grup,grup,Kadıköy
Dasti,Dasti,6cl4CnHjzJGdRZbsVseucx,259.0,Diger,turkish reggae,,,,
Tolga Genç,Tolga Genç,248nofgt75VHM7jsEvoAUJ,258.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,
Gönen,Gönen,7jSjT3L4PtACygvRZEdhM4,257.0,Turkish Pop,deep turkish pop,turkish pop,,,
Mehmet Can Özer,Mehmet Can Özer,0A0gjHdOy47TXCCcpBRZ4C,257.0,Turkish Electronic,turkish experimental,"electroacoustic, avant-garde, experimental, musique concrète",solo,,İzmir
Beren Gündüz,Beren Gündüz,3wyIpwnIc75AkQ9o3bcRnH,256.0,Turkish Pop,turkce remix,,,,
Ertuğ,Ertuğ,6L3onIF98SB7aUdMVZM1o3,256.0,Turkish Pop,deep turkish pop,turkish pop,solo,,Adapazarı
Başkentli Erhan Durak,Başkentli Erhan Durak,7jnK8APhTE3RQtHXBwmbtG,254.0,Turkish Folk,oyun havasi,oyun havasi,,,
Savaş Yakupoğlu,Savaş Yakupoğlu,2yMiuzJ5fmdYdvDgIANxRS,253.0,Turkish Pop,karadeniz pop,karadeniz folk,,,
Ben Utanırım Sen Söyle,Ben Utanırım Sen Söyle,0v4bm2x5N0hpt5vvg9igYT,253.0,Turkish Rock,turkish post-punk,darkwave,,,
Ebru Aydın,Ebru Aydın,3SnOluOpr5SgbliCC92dWM,253.0,Turkish Pop,deep turkish pop,turkish pop,,,
Pınar Dönmez,Pınar Dönmez,1VKVqjMYL1WrQUvb55riUT,253.0,Turkish Folk,rumeli turkuleri,,solo,,İstanbul
Mecit,Mecit,1V4ri75dg4zPRi8aYKMRWp,252.0,Turkish Folk,rumeli turkuleri,oyun havasi,,,
Oscuridad Eterna,Oscuridad Eterna,6cOQFTV6RQt9INPplLbman,252.0,Turkish Rock,turkish post-punk,"deathrock, darkwave, gothic rock, cold wave, post-punk",grup,grup,İstanbul
Seed of Cain,Seed of Cain,1GkW0W0olTLt0m1trPRa8s,251.0,Turkish Metal & Hardcore,turkish black metal,black metal,grup,grup,Ankara
Beks,Beks,3RpMzsj1yl2d2tSHYxq2yn,249.0,Turkish Pop,turkish trap pop,turkish hip hop,,,
The Ousted,The Ousted,3ccOBlNznh3ZjkDcGrbdRc,248.0,Turkish Metal & Hardcore,turkish hardcore,"melodic hardcore, hardcore punk",grup,grup,İstanbul
NEMF,NEMF,2hlHEWeS9MGh2iZ0sXs04h,248.0,Turkish Rock,turkish post-punk,"darkwave, post-punk",,,
Verda Erman,Verda Erman,5rnhZenqL7oXxqsfbXqzkX,247.0,Turkish Sanat & Klasik,turkish classical performance,,solo,,İstanbul
Bewitched As Dark,Bewitched As Dark,3SI51e4sluozMdgAbtF8sv,246.0,Turkish Electronic,turkish electronic,"darkwave, cold wave, post-punk",,,
Booze serpent,Booze serpent,3QqUTEZZwLhmHPNri81qwE,246.0,Turkish Metal & Hardcore,turkish death metal,,solo,,Antalya
Moment,Moment,2MMJyUsodlFM7t45z0n5LH,245.0,Turkish Rock,turkish punk,,,,
Crimson Hill,Crimson Hill,164579VGhQGrrNPiVxMUEI,245.0,Turkish Metal & Hardcore,turkish metal,melodic death metal,grup,grup,İstanbul
Neon,Neon,0XtdbqfEpepCdBVH5nbFw4,244.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,,,
İsmet Şekerci,İsmet Şekerci,6nAWW2KQtQdnHt99UZQojf,243.0,Turkish Folk,oyun havasi,oyun havasi,,,
Caner Özkan,Caner Özkan,2oojoWheppZays3mDO8ryU,243.0,Turkish Jazz & Instrumental,turkish soundtrack,,,,
Standback,Standback,26xGsqLmbcBQAsQSTyoHqz,242.0,Turkish Metal & Hardcore,turkish hardcore,,grup,grup,İstanbul
Bosphorus Topluluğu,Bosphorus Topluluğu,7jC3gkmm3VUV4SRSzal8q8,241.0,Turkish Sanat & Klasik,turkish classical,,,,
NOTWITHSTANDING,NOTWITHSTANDING,05w8xUIgfhZldZ5oNl7OCz,241.0,Turkish Metal & Hardcore,turkish metal,,grup,grup,İzmir
Ezayah,Ezayah,603nq32SwZggqVMYEwEUhX,241.0,Turkish Metal & Hardcore,turkish black metal,black metal,,,
Toros Can,Toros Can,752SckePA0z2JtXlpMSsnQ,240.0,Turkish Sanat & Klasik,turkish classical performance,classical piano,solo,,Ankara
Furkan Eroğlu,Furkan Eroğlu,0JVKHqY5Xijuw7ybK2cCzH,236.0,Turkish Jazz & Instrumental,turkish soundtrack,,,,
Demir Arslan,Demir Arslan,0UJLWquoT2hJWckg5ajPnH,235.0,Turkish Rock,turkish punk,,solo,,Bursa
Demortis1337,Demortis1337,5SyGerhsKZXgVjWYWU2Gel,234.0,Turkish Hip Hop & Trap,new school turkce rap,,,,
Bi Ters Bi Yüz,Bi Ters Bi Yüz,1xqrKTUu0yeSBLTTT3pazv,233.0,Turkish Pop,huzunlu sarkilar,,,,
Desecrate,Desecrate,1FxRX686tftMm38S9rR2DY,232.0,Turkish Metal & Hardcore,turkish metal,"melodic death metal, doom metal",,,
Kürşad Kiyak,Kürşad Kiyak,1qUd6pWSoVDZVvN4nsJjCK,231.0,Turkish Pop,turkce remix,turkish pop,,,
Aytuğ Yargıç,Aytuğ Yargıç,2V9vrebyF84RCoksprdGLi,228.0,Turkish Jazz & Instrumental,turkish soundtrack,,,,
N.L.P.,N.L.P.,5HWflpE6gKZqRl0h9wgg7L,227.0,Turkish Rock,turkish post-punk,"darkwave, cold wave, post-punk",,,
Proudpilot,Proudpilot,5jqvhaGD7eSeulFxAbmSOX,224.0,Turkish Rock,turkish alternative rock,"darkwave, post-punk, industrial rock",grup,grup,İstanbul
Pınar,Pınar,5oHkcQnRq9s50YcGYJY1nt,223.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish pop,,,
Volkan Ergen,Volkan Ergen,29bQsHROojelL1nLb3a5q3,223.0,Turkish Electronic,turkish experimental,"electroacoustic, experimental, noise music, avant-garde",solo,,Samsun
Atilla Aldemir,Atilla Aldemir,1lmJwlvgGaFUiMyEr9M8cJ,222.0,Turkish Sanat & Klasik,turkish classical performance,,solo,,Leipzig
Blacktooth,Blacktooth,5A8qZcQnevVS2LzPP93eYv,222.0,Turkish Metal & Hardcore,turkish metal,,grup,grup,Ankara
Zifir,Zifir,0PzPjxKaNUFimk8qcNIQ8L,222.0,Turkish Metal & Hardcore,turkish black metal,black metal,grup,grup,İzmir
Daü Sem Ada Işığı Çocuk Korosu,Daü Sem Ada Işığı Çocuk Korosu,3i1r9DFEsiUW3BUfWRe2jo,221.0,Tematik & Ozel,cocuk sarkilari,,,,
Yasin Bozkurt,Yasin Bozkurt,0UgScd8ihLHGYlsr4MvS64,220.0,Diger,turkish reggae,,,,
Tuncay Yılmaz,Tuncay Yılmaz,5V2No4vF5tAFvSY6tJH20d,220.0,Turkish Sanat & Klasik,turkish classical performance,,,,
Dogukan Guler,Dogukan Guler,6Ym6wMlPsy873LEzx28sE5,220.0,Turkish Electronic,turkish deep house,,,,
Atapaskan,Atapaskan,60aUXA2OKytRzUDyyxk3g1,220.0,Turkish Metal & Hardcore,turkish death metal,,,,
Bülent Ercüment Orkut,Bülent Ercüment Orkut,0dJaA3BSgWYgXGnBynU69s,217.0,Turkish Jazz & Instrumental,turkish soundtrack,,,,
İsmail Yılmaz,İsmail Yılmaz,3MYBWKDvzw3RZN2XVEEkSo,217.0,,duduk,oyun havasi,,,
Duhank,Duhank,6dQTtqjqv9jkVBdpJKBrDP,216.0,Turkish Pop,huzunlu sarkilar,,,,
Electric Bliss,Electric Bliss,2pDP1w2UnDPHXgQxOUVUq7,216.0,Turkish Rock,turkish alternative rock,,,,
Kahan Candan,Kahan Candan,72fctEjeweXNkLPAUW1kYJ,216.0,Turkish Rock,turkish psych,"anatolian rock, oyun havasi",,,
Kitschcraft,Kitschcraft,1y6s02b918TgVNqDhjJ1dO,215.0,Turkish Electronic,turkish electronic,synthpop,grup,grup,İstanbul
Cazyapjazz,Cazyapjazz,29nErF02IhE6nnjTD0E99U,215.0,Turkish Jazz & Instrumental,turkish jazz,,,,
FURKAN DOGAN,FURKAN DOGAN,2PmeADh0MBTVykawblD0kT,215.0,Turkish Electronic,turkish deep house,,,,
Bassel Hallak,Bassel Hallak,5M2lyYZAbiUBevtHwsuQWG,214.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,
Alican Sandık,Alican Sandık,4jWMJVthpTxGQq3LAQM8IB,214.0,Turkish Electronic,turkish deep house,,,,
Kronik,Kronik,6ZRqJPpoedKyg59wCEtycJ,214.0,Turkish Metal & Hardcore,turkish metal,,grup,grup,İstanbul
Mahsuni Tuncer,Mahsuni Tuncer,0Qir8AHC1AQJbdTpkMpc7f,213.0,Turkish Pop,turkce remix,,,,
Tavana Basma,Tavana Basma,7GoISxmNXyLPdE5nIwXJkB,213.0,Turkish Rock,turkish alternative rock,,,,
Zeynep Birinci,Zeynep Birinci,7HXMCgJfnA5TWT7rqsXciu,212.0,Turkish Folk,karadeniz turkuleri,"karadeniz folk, oyun havasi",,,
Ulas Pakkan,Ulas Pakkan,07RicpB9e5VxTg8UyuBEvX,212.0,Turkish Jazz & Instrumental,turkish soundtrack,,solo,,İstanbul
HAZARD,HAZARD,51NbDcN4ttQ4k6K505l6xH,209.0,Turkish Rock,turkish punk,,,,
Trubadoor,Trubadoor,6tCddAlzXej79TOS5N1WHS,203.0,Turkish Rock,turkish punk,,grup,grup,İstanbul
Zabb,Zabb,2tEUj53FzilOoP00MNHs3t,203.0,Turkish Rock,turkish post-punk,"darkwave, anatolian rock",,,
Sunat Korat,Sunat Korat,5DPBywYf52RWqGUdcNqGgt,202.0,Turkish Sanat & Klasik,turkish classical performance,opera,,,
Alphadub,Alphadub,2ggOeqoxpNZiuvQMNHXGtJ,202.0,Diger,turkish reggae,"dub, dubstep",,,
Aydın Karlıbel,Aydın Karlıbel,08JwGWy5CXNqSdjgSAAeyO,200.0,Turkish Sanat & Klasik,turkish classical performance,,,,
Emirhan Ertürk,Emirhan Ertürk,6cLHLw7qxaUtK6Q3O1wNbN,199.0,Turkish Sanat & Klasik,ilahiler,,,,
Tuna Pase,Tuna Pase,5QS8vv3dYUl34CXjaDrEGu,199.0,Turkish Electronic,turkish experimental,"musique concrète, electroacoustic, experimental, avant-garde",solo,,İstanbul
Turgut Demirci,Turgut Demirci,1pJeBSlkpEJHA7Zu7a5kOs,199.0,Turkish Pop,turkce slow sarkilar,,,,
Berzah,Berzah,2N4vNj4rE6OUuxONhHkf95,198.0,Turkish Metal & Hardcore,turkish metal,turkish hip hop,,,
King Fifi,King Fifi,7y4ID7dOd4BTlGXiNhhCPe,198.0,Diger,turkish reggae,,solo,,İstanbul
Archura,Archura,3mE01qNIt2WYbCEbWAatEz,197.0,Turkish Rock,turkish post-punk,"darkwave, cold wave, post-punk, industrial rock",solo,,İstanbul
Saspent,Saspent,0IyNajRDVB2jwL3vYb7eFW,197.0,Turkish Metal & Hardcore,turkish metal,,grup,grup,Ankara
Toward Origin,Toward Origin,3teIFHvXuZAKszWNZ2x3nG,196.0,Turkish Metal & Hardcore,turkish death metal,"melodic death metal, djent",grup,grup,Ankara
Berkay Özcan,Berkay Özcan,189hPYKuXaPLAwrJPjloJY,194.0,Turkish Pop,turkce slow sarkilar,turkish pop,,,
To My Lonely Sik Kid,To My Lonely Sik Kid,5goO0p0RZnB7wUcbEQFYRc,193.0,Turkish Rock,turkish post-punk,"darkwave, post-punk",,,
Godmode,Godmode,2l0Ht9DsQNUa6tEUbq4ZQ4,192.0,Turkish Metal & Hardcore,turkish metal,,,,
Rahmi Olcay,Rahmi Olcay,1k3EuzgW9U20sW1Egw2Ej9,191.0,Turkish Sanat & Klasik,ilahiler,sufi,,,
Mehometh,Mehometh,5EPjr60R1LwaLLyQzxsuZc,190.0,Turkish Metal & Hardcore,turkish black metal,black metal,grup,grup,İstanbul
Agency,Agency,5KANYu21k8lWz2Hw42qf5i,190.0,Turkish Rock,turkish alternative rock,,grup,grup,İstanbul
In Revel of Seduce,In Revel of Seduce,79zMU73r8ABWOASmbo1wd0,190.0,Turkish Metal & Hardcore,turkish death metal,melodic death metal,,,
Nagâh,Nagâh,3OdSO08NomIXZaNnHFRv2s,189.0,Turkish Pop,huzunlu sarkilar,,,,
Akrunant,Akrunant,3MNVGOXN9hyB29naX3rLEE,188.0,Turkish Metal & Hardcore,turkish black metal,black metal,,,
Gorali,Gorali,6eDT14WLnc9OT3DnQBpy7Y,187.0,Turkish Electronic,turkish experimental,experimental,,,
Safir,Safir,6JmsCPdSkII4u4eOY0HS3X,187.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,
Elif Bestehan,Elif Bestehan,65tCQxCbfdhrTuwZ3ArVRM,187.0,Turkish Pop,turkce slow sarkilar,turkish pop,,,
Başar Ünder,Başar Ünder,7svZ1fmBh8aSV4tRLOvmFO,187.0,Turkish Electronic,turkish experimental,"electroacoustic, experimental",solo,,İstanbul
Tape Lava,Tape Lava,0d1q92gG98tNsI7Efa0b2S,187.0,Turkish Electronic,turkish electronic,,,,
Supereich,Supereich,75RW9UK3DUazLgonqWMOMT,185.0,Turkish Electronic,turkish electronic,"darkwave, post-punk, cold wave, synthpop",solo,,İstanbul
Deniz Küçükakyüz,Deniz Küçükakyüz,5fx03NAbpIdYY1qHnmpc3c,183.0,Turkish Pop,karadeniz pop,karadeniz folk,,,
The Sick Bags,The Sick Bags,2Kdm9Lq41IvzPZ6w0WfBvG,182.0,Turkish Rock,turkish post-punk,,solo,,İstanbul
Tamer Isli Projects,Tamer Isli Projects,3MQujPOzsx0PU3j5gv8Huk,181.0,Turkish Metal & Hardcore,turkish metal,"neofolk, symphonic metal, neoclassical",solo,,Konya
Urværk,Urværk,0abyTDxu0rtA6TFxpUrsWM,180.0,Turkish Rock,turkish post-punk,"darkwave, post-punk, cold wave, industrial rock",grup,grup,Ankara
Ahmet Sipahi,Ahmet Sipahi,7Gfynai3oNz1odsZo9D0zB,179.0,Turkish Rock,turkish alt pop,,,,
Göktuğ Şenkal,Göktuğ Şenkal,4uIbNklySuh0xNUvPnUH68,179.0,Turkish Jazz & Instrumental,turkish soundtrack,,,,
Mustafa Genc,Mustafa Genc,127e7S4JCtkQTmyRtLRbY8,178.0,Turkish Electronic,turkish edm,,,,
Grup Golden Horn Ensamble,Grup Golden Horn Ensamble,2oo5AQ1d68AQSHpGgYHzF4,176.0,Turkish Sanat & Klasik,turkish classical,,,,
Sencer Akkus,Sencer Akkus,18zi30hl6Ie8k3kl0PBUII,176.0,Turkish Electronic,turkish deep house,,,,
Doruk Onatkut Orkestrası,Doruk Onatkut Orkestrası,5TIkZVafEHvumRrXRUSC3r,175.0,Turkish Rock,turkish psych,"anatolian rock, oyun havasi",solo,,
Good Vibes,Good Vibes,5TWG06O0i95YjL4DAe2l9Z,175.0,Diger,turkish reggae,,,,
Pourbon,Pourbon,58vJe0eAEb8zV3mP8vdP4g,175.0,Turkish Metal & Hardcore,turkish hardcore,"mathcore, hardcore punk, grindcore",grup,grup,İstanbul
Ahmet Çaplı,Ahmet Çaplı,3ov8FCQyzDrRmaGEbbd7lD,174.0,Turkish Pop,turkce slow sarkilar,,,,
Umut Özcan,Umut Özcan,0rOvylpI1Pa8ZwuutIQPTN,173.0,Turkish Pop,turkce remix,,,,
Murat Eroğul,Murat Eroğul,3hYxSyJUZLbdUd0tJeS23O,173.0,Turkish Sanat & Klasik,ilahiler,sufi,,,
Arketip,Arketip,0jvAn5mMtryCLmhHfwqMUO,172.0,Turkish Electronic,turkish electronic,idm,,,
Alişan Aslan,Alişan Aslan,0RsGoUI9JKpFflPlcovvZw,172.0,Turkish Electronic,turkish edm,,,,
Meral Mansuroğlu,Meral Mansuroğlu,6jU0iAV8eZf0gdbzvj9YCU,171.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,,,
Ferit Sönmez,Ferit Sönmez,5infRFFcOeArhs6wjDn8Cu,171.0,Turkish Pop,turkish trap pop,turkish hip hop,,,
Faik Kara,Faik Kara,1AEoNyEXDiDbBOe4jzChNR,170.0,Turkish Folk,rumeli turkuleri,oyun havasi,,,
Dilbağ Tokay,Dilbağ Tokay,4cODFp1frFmB9CpyUWEM9D,170.0,Turkish Sanat & Klasik,turkish classical performance,,solo,,İstanbul
Ali Osman Akkuş,Ali Osman Akkuş,04LiabxtOHm2arzCacdlfg,170.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,,,
mathê,mathê,3kJuw92osRIqMY0fnCB6hS,167.0,Turkish Hip Hop & Trap,new school turkce rap,,,,
Yeşim Gökalp,Yeşim Gökalp,5yN20W2ZbE2X23y5GarsDg,167.0,Turkish Sanat & Klasik,turkish classical performance,neoclassical,,,
