isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Refik Fersan,Refik Fersan,7Go3wwVD6FZ6erRNm9CvWT,4238.0,Turkish Sanat & Klasik,turkish classical,,,,
Anka İlahi Grubu,Anka İlahi Grubu,5J7BgQcEIMSO4I41T36yP1,4238.0,Turkish Sanat & Klasik,ilahiler,,,,
Salih Korkut Peker,Salih Korkut Peker,0U06Mx18YYHYbjcrxvez2b,4234.0,Turkish Jazz & Instrumental,turkish jazz,,solo,,İzmir
Kemal Doğulu,Kemal Doğulu,7B2VFy1LccXiQkdt1QD3vk,4223.0,Turkish Pop,deep turkish pop,turkish pop,,,
Soul Sacrifice,Soul Sacrifice,7eqG24CLrzydP9EXH2bG52,4222.0,Turkish Metal & Hardcore,turkish metal,melodic death metal,grup,grup,Bakırköy
Mualla Mukadder,Mualla Mukadder,1K2t2HL09hh64E90fv6zpr,4217.0,Turkish Sanat & Klasik,turk sanat muzigi,"doo-wop, arabesk",solo,,
aia,aia,0GiFujg5b2vNB9pwqvqGzF,4208.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,
Ezgizem,Ezgizem,1NdFM8FxkPYwYWZl9Zr2tj,4191.0,Turkish Pop,turkish trap pop,"oyun havasi, turkish pop",,,
Sevim Deran,Sevim Deran,4AU6GvgAK9ByD8saUXmiOZ,4190.0,Turkish Pop,classic turkish pop,"arabesk, anatolian rock",,,
Kayıp Nesil,Kayıp Nesil,73yX1KkqtfcfPQaAu5hv5d,4189.0,Turkish Pop,turkce slow sarkilar,turkish pop,,,
Waldeins,Waldeins,4n2XgelVt5ANset63ibmyr,4188.0,Turkish Pop,huzunlu sarkilar,,,,
Kadiriler İlahi Grubu,Kadiriler İlahi Grubu,2y8wbfxQgA4K7OfsNQYFqP,4184.0,Turkish Sanat & Klasik,ilahiler,sufi,,,
Label C5,Label C5,08xb1eqJnQSE2SDLwnMKPC,4184.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,,,
Yurdal Tokcan,Yurdal Tokcan,0Vvmhc3Nuu2DawzJH0f7Nv,4181.0,,arab folk,"traditional music, early music, mediaeval",,,
Gökböri,Gökböri,5NMnLyAHklqqbLXGI21ZgT,4176.0,Turkish Metal & Hardcore,turkish metal,folk metal,,,
Aydın Sarman,Aydın Sarman,40w4wlvviSEDjQDcxfL1zi,4167.0,Turkish Jazz & Instrumental,turkish soundtrack,arabesk,,,
Mine Özgüle,Mine Özgüle,15QctPiHcedop0WX3zhRqR,4163.0,Turkish Rock,turkish alt pop,,,,
Kumadam,Kumadam,5CDW9n3X683S5QJT6iLV9o,4157.0,Turkish Rock,turkish post-punk,"darkwave, post-punk",solo,,İstanbul
Batu Onat,Batu Onat,7aOWtkVztALwRvuLWDPC0p,4147.0,Turkish Electronic,turkish deep house,tropical house,,,
Rumeli Ayhan,Rumeli Ayhan,7AJV6WZGO4zGXMEemln8ER,4140.0,Turkish Folk,rumeli turkuleri,oyun havasi,,,
Genç Osman,Genç Osman,5Zkr7EwsJ7r1XMjxvoD3Yu,4132.0,Turkish Rock,turkish singer-songwriter,,,,
Ahmet Sendil,Ahmet Sendil,18mAG9V2Jdp88QW3LlBs22,4131.0,,deep minimal techno,"minimal techno, tech house",solo,,İstanbul
Başar Dikici,Başar Dikici,2Rj8s8e3KhQqkSeEiiBegw,4118.0,,ney,sufi,,,
