Spotify_ID,Sanatçı,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
4Xm86XAvDYWh36Z98FvKjc,selçuk balcı,224526.0,45.0,"karadeniz folk, arabesk, oyun havasi","karadeniz folk, arabesk, oyun havasi",halk,turkish pop
30Lb5Jijp6ynpodpRsrqIX,tuğba özerk,224143.0,32.0,turkish pop,turkish pop,,turkish pop
3i5LEBNq1A00tgvcmB97vV,birsen tezer,221671.0,46.0,turkish pop,turkish pop,,"turkish rock, turkish jazz"
4aCS0WLLZ3070ZDBOFJlHB,erdem kınay,220863.0,54.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
10aqquITh9xMvNFTMZicY9,anıl durmuş,218365.0,45.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
3l2XZBROf6IhytyMQW2U1g,nur cennet,215845.0,43.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
56TBrBN0rtJxZfvKcGtfDS,güler duman,215711.0,48.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,"arabesk, turkish folk"
43kof4zqki1s51xx3bX8wB,eda sakız,215711.0,44.0,turkish pop,turkish pop,,turkish pop
0W0qg2fjQVk63h44Zdn4hI,bora duran,213787.0,48.0,turkish pop,turkish pop,"pop, klasik",turkish pop
6EkoCL5oWSht8mekRNBWAn,gökçe,213128.0,46.0,"turkish pop, t-pop","turkish pop, t-pop",,"turkish pop, turkish rock"
7DDrfx7EEOeHSZUkpTIn59,berkay altunyay,212949.0,48.0,turkish pop,turkish pop,,turkish singer-songwriter
4jtv7mIerRdHNQOkFtKyDW,ados,212688.0,41.0,turkish hip hop,"koplo, dangdut, sholawat",rap,turkish hip hop
6qphxvmoZkBRhPV3Ohb6j2,cihan mürtezaoğlu,211594.0,48.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
3Q4vUSwEp9P7ussNXBpHbZ,hakan taşıyan,210835.0,40.0,arabesk,arabesk,,arabesk
7x1sEYcPJvLBwweGlIcapC,hakan peker,210733.0,50.0,turkish pop,turkish pop,dans,turkish pop
7fq3nZT2euZJrDRkV0u5Oe,emrah,210557.0,42.0,"arabesk, turkish pop","turkish pop, t-pop",,arabesk
2Fu5huGG8iXC85P9akyYrr,joker,207864.0,45.0,turkish hip hop,"mandopop, c-pop, taiwanese pop",,"turkish trap, turkish hip hop"
74VZuXJwRTaBExjMhYBYi4,ayla dikmen,206239.0,51.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",pop,
0ZE0YoF456RFBU6rDFwm4o,kutsi,205612.0,36.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
2aUYhLpTuhYgill5Nxz0Ic,esat bargun,204330.0,43.0,turkish hip hop,turkish hip hop,,turkish hip hop
5e533hdLKXcsl4BhU7gjqv,azap hg,203781.0,31.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
3A6DEEgGTMl77LFLCzwc5T,burak kut,203286.0,46.0,turkish pop,turkish pop,,turkish pop
5d6QcBFI1IDPsWH2MuTk0T,mustafa yıldızdoğan,202900.0,46.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,"arabesk, turkish folk"
5Z0rUIkdvlnx6JYqcC4aU0,can gox,202761.0,40.0,anatolian rock,anatolian rock,blues,turkish rock
4gW3frVd81rA0rxAclZnlR,bülent serttas,199381.0,48.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,arabesk
4HSiNCPhdU2snKaVJytlUM,zen-g,199345.0,41.0,turkish hip hop,"lullaby, children's music",rap,"turkish trap, turkish hip hop"
72OZeQyKCAebfnRJAIEpnx,berksan,199099.0,43.0,turkish pop,turkish pop,,turkish pop
1fIyC6Oj6CHRcB4jyVnw6t,ilkay akkaya,198421.0,42.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",,turkish folk
3hz9oj5H2C1iTejt5IQpW2,merve yalçın,198350.0,29.0,"manele, turkish pop","manele, turkish pop",,
0VsS7WKuNEsKGNIWuiwSyZ,gaye su akyol,198150.0,44.0,anatolian rock,anatolian rock,,"turkish rock, turkish jazz"
2abTtZjrdqE7fitNirW4Qy,orhan ölmez,196522.0,38.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk, turkish singer-songwriter"
