isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
özgür akkuş,,,,,7AdatTaeOR4qBVfdCgbikM,Özgür Akkuş,2938.0,14.0,turkish pop,turkish pop,,deep turkish pop
Seza Kırgız,,"Ankara, Ankara, Turkey",Ankara,solo,2FSsBtQRoodBxjVFektI3Q,Seza Kırgız,2931.0,15.0,,,,
lavta,,,,,0j81DyR8CkOy6rGQzorqGa,Lavta,2927.0,18.0,,,rap,
Burak Bedikyan,"İstanbul, İstanbul, Turkey","New York, NY, United States",İstanbul,solo,6YhBvGJ1NJCgJxfWCzyMNh,Burak Bedikyan,2924.0,0.0,free jazz,free jazz,,
recep aktuğ,,,,,7LibVhaV37szV1z4AnNNu9,recep aktuğ,2923.0,23.0,turkish pop,turkish pop,,
Kim Ki O,"İstanbul, İstanbul, Turkey",,İstanbul,grup,64rIXf8Xe15Nb7cze6OKXd,kim ki o,2921.0,3.0,"darkwave, post-punk, gothic rock",musicals,,turkish electronic
disco tarantula,,,,,5GXRf1M2wvwZvEWlPvMUEk,Disco Tarantula,2904.0,42.0,,,,turkish electronic
esin engin orkestrası,,,,,2p9v66KrdQ5nLy6TzxpKEB,Esin Engin Orkestrası,2899.0,23.0,"oyun havasi, anatolian rock","oyun havasi, anatolian rock","elektronik, enstrümantal",turkish psych
behçet gülas,,,,,2P02fjwTVaowlwOZ2KJh7h,Behçet Gülas,2899.0,21.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",klasik,
Mel7em,,"İstanbul, İstanbul, Turkey",İstanbul,solo,2kA5fHfCu63JFihHuda5Oi,Mel7em,2897.0,13.0,"melodic techno, organic house",,,
söz saz i̇stanbul,,,,,4NnQ8uheSEXuVlwoVMCJoB,Söz Saz İstanbul,2896.0,17.0,sufi,sufi,caz,
harem,,,,,2klZtYvIzUQI1DFrPCAVAL,Harem,2892.0,19.0,oyun havasi,"aor, arena rock, glam metal, glam rock, hard rock",rap,
burak malçok,,,,,3CmmR547H2prfmsee200bE,burak malçok,2891.0,26.0,"anatolian rock, sufi","anatolian rock, sufi",,
Scenes We Have Missed,"İzmir, İzmir, Turkey",,İzmir,grup,6F9PB4Rcyy1IgZO8O7qxnV,Scenes We Have Missed,2881.0,10.0,melodic hardcore,melodic hardcore,,turkish metal
güneş özgeç,,,,,6mkCYg6ZwD3mv7XnLy19CB,Güneş Özgeç,2879.0,8.0,,,,turkish alt-pop
