isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
Bugy,1XxdJaLo6jXdFbgR1zKJ3x,Bugy,17759.0,38.0,turkish hip hop
Burak Babayiğit,,,,,
Burak Dakak,,,,,
Burak Sergen,2J2HYMSGcsmGCslRNhK7wG,Burak Sergen,6.0,3.0,
Burhan Erdemir,6TDjffQj3xB4K3r4ZewRji,Burhan Erdemir,834.0,16.0,
Burkay Doğan,,,,,
Burst Appeal,,,,,
Buğra Gülsoy,,,,,
Bükük Taso,1sAtfIhWetaq7cecvPyEic,Bükük Taso,1475.0,1.0,punk
Bülent Emin Yarar,1CNrsvljWnc0SHe8Tyl6Hq,Bülent Emin Yarar,7.0,0.0,
Bülent Helvacı,,,,,
Büşra Ayaydın,,,,,
Can 7,7eVY9a9LOOrgIwszKa8XUY,Can 7,3545.0,27.0,"nu jazz, lounge, lo-fi house"
Can Dündar,2CfLhZicaPoTzcxnfHn7Lr,Ahmet Can Dündar,387619.0,31.0,turkish pop
Can Merdan Doğan,,,,,
Can Sinan,,,,,
Caner Alkaya,,,,,
Cannibalism,5PjgYFqEgEbeGbG6I2hAgm,CANNIBALISM,251.0,0.0,death metal
Cansu Dere,1ULtp078nfOziIyCX1FXY7,Cansu Dere,101.0,7.0,
Carnac,2rfn0lKCUyCvNIQe82MaZK,Carnac,5.0,0.0,
Celal Çimen,,,,,
Celestial Asylum,7e2Ms7rqpik8hSzIlQ6i2y,CELESTIAL ASYLUM,30.0,0.0,progressive metal
Cem Cücenoğlu,01bySUNrCoIQCLQtjJcSsF,Cem Cücenoğlu,101.0,2.0,arabesk
Cem Emüler,,,,,
Cem Kılıç,2Lillee9AYntM03mtposoQ,Cem Kılıç,1508.0,7.0,turkish pop
Cemil Özbayer,,,,,
Cemre Melis Çınar,7DOyoizHnSQW6jMGndQ9pS,Cemre,290.0,33.0,"turkish pop, turkish hip hop"
Cenk Torun,,,,,
Cevat Kurtuluş,45fXnxgcxBQyf6aAtuDtJK,Cevat Kurtuluş,11.0,0.0,
Ceyda Ateş,,,,,
Ceyda Olguner,,,,,
Cezmi Başeğmez,413Nka0obdQtmDqruqtBzs,Cezmi Başeğmez,2.0,0.0,
Cihan Palabıyık,,,,,
Cihan Yurtçu,5PYfeLqPPy2dM8VdS9juDn,Cihan Yurtçu,41.0,0.0,"oyun havasi, space music"
Corroded,2vH7B6YvHO3AHVb9R8bYi8,Corroded,32849.0,28.0,
Cosmic Funeral,4T2hCo8X8jy47NVzYNRGNj,Cosmic Funeral,280.0,0.0,black metal
Crestfall,2h72ICYRGkNKnDQzQM8rMH,Crestfall,10.0,0.0,
Crisis,3IozSzpkD4OXFv02vdujWI,Crisis,7326.0,12.0,"neofolk, post-punk, deathrock, punk"
Cyanopica,,,,,
Cüneyt Karakuş,,,,,
DAK,763SuGjtCI9H4bCNOPFyrp,DAKOOKA,102505.0,47.0,
DMLLL,3DfSWooUsJ3ySt5Kos155Z,Dmlll,96.0,0.0,
Daydreamers & Nonsmokers,6fqmW3oQmccGZby0CG1S2G,Daydreamers & Nonsmokers,312.0,2.0,
Decimation,7LXPA3qA1GDUhGYY1OfurU,Decimation,2677.0,0.0,death metal
Defne Deliormanlı,,,,,
Defne Kayalar,,,,,
Dementia,1rWuAHhsFenPSvpS1QrPpz,Dementia,401.0,3.0,psytrance
Deniz Aksaya,,,,,
Deniz Gamze Ergüven,,,,,
Deniz Güvenç,,,,,
Deniz Madanoğlu,,,,,
Deniz Uğur,43tFbg1KHfTYQxbOgegZd4,Deniz Uğur,8.0,0.0,
Dersu Yavuz Altun,,,,,
Desecrated Ubiquity,4XFokU94hmzgbXT01ASinN,Desecrated Ubiquity,56.0,0.0,death metal
Devrim Yakut,,,,,
Değer Deniz,5pEPnVMJfH3jpNPNpkUtNV,Değer Deniz,266.0,6.0,
Didem Atlıhan,,,,,
Didem Balçın,02bxRhGL4mQIXry0QBftjz,Didem Balçın,14.0,0.0,
Dijital Kayısı,31Ku3atEnznBzD9F8OKsB6,Dijital Kayısı,352.0,0.0,
Dilek İyigün,,,,,
Dirim Ceseroglu,,,,,
Disorder,50PwQb4wXqYTaiyTVGbdzl,Disorder,2740.0,20.0,black metal
Dozi Ozovski,5DaeHpsp3vSdhj6j5FqeIl,Dozi Ozovski,322.0,0.0,
Doğa Can Anafarta,0VzgkJnTn8ss6MrfZs66Yp,Doğa,23.0,28.0,turkish hip hop
Doğu Akal,,,,,
Doğu Demirkol,3uZnK9Iu413rg9hy4L9JKa,Doğu Demirkol,240.0,6.0,turkish pop
Dr. Zehir,2xNwHuovZpXm2duBKU3Tet,Dr. Zehir,637.0,11.0,turkish hip hop
ESKRY,4GrQ3PF77T989lYhY4MMub,ESKRY,2157.0,15.0,turkish hip hop
EVA,5nGIFgo0shDenQYSE0Sn7c,Evanescence,6744878.0,76.0,alternative metal
Ebru Ceylan,6X3XI5Ph4oSk2urK9UoX13,Ebru Ceylan,756.0,12.0,
Ebru Yildiz,1ZvcuA8s30gONDYoWyZm4p,Ebru Yıldız,6.0,0.0,
Ebru Özkan,,,,,
Ece Yaşar,0CxyBpLXYsV8Za1LnTX7ka,Ece Yaşar,14.0,4.0,
Efdal Altun,,,,,
Efe Erdem,5uOtdvxqzV8AhMexr66yVG,Efe Erdem,36.0,0.0,
Ege Aydan,79NigvRR5qPszUO3LoPxj6,Ege Aydan,2.0,0.0,
Ehrimen,,,,,
Ekim Mağden,,,,,
Ekin Türkmen,,,,,
Ekrem Bora,4HeP6uw0HBrNxw7la3nJkT,Ekrem Bora,1.0,0.0,
Elif Akarsu Polat,,,,,
Elif Dağdeviren,13JkSJbUeoGoQJ7hPe8f6O,Elif Dağdeviren,9.0,1.0,turkish pop
Elif Gizem Aykul,,,,,
Elif Nur Kerkük,,,,,
Elif Ongan Tekçe,,,,,
Emaskülatör,689cz5DGYDKCK0KuEUXNV0,Emaskülatör,3037.0,6.0,punk
Emrah Saltık,,,,,
Emrah Yardımcı,7fq3nZT2euZJrDRkV0u5Oe,Emrah,210938.0,41.0,"arabesk, turkish pop"
Emre Aracı,14rmqpY9L6DirsiSUy5J3Z,Emre Aracı,4804.0,21.0,
Emre Kartari,3yXFwiyqLEsqDYF6u0NXMJ,Emre Kartari,159.0,1.0,hard bop
Emre Sihan Kaleli,1MOjeT3QJRlZU5VpsEip3N,Emre Sihan Kaleli,7.0,0.0,
Enes Kızıltoprak,,,,,
Engin Akyürek,,,,,
Ennis Esmer,,,,,
Erdal Beşikçioğlu,5hhud9sU7CTKd7cq5J58se,Erdal Beşikçioğlu,124.0,1.0,turkish hip hop
Erdağ Yenel,,,,,
Erdem Akın,5tzsJRywNZVaUY0ucFxr0D,Erdem Akın,15418.0,32.0,karadeniz folk
Erdinç Gülener,,,,,
Erdoğan Aydemir,,,,,
Eren Kömürlü,,,,,
Eren Ozker,,,,,
Ergun Simsek,,,,,
Erkan Bektaş,6Pm17Dq0CQBlMBDN5pRARJ,Erkan Bektaş,111.0,3.0,
Erkan Köse,,,,,
Erkan Yücel,,,,,
Erkin Öztürk,,,,,
Erkut Özkan,2ZDCC10TLm3EwgXK1p1BCW,Erkut Özkan,1513.0,9.0,oyun havasi
Erlik,48PG2y6F4vmGuDuEMtpISD,ERLIK,4776.0,3.0,
Esin Harvey,,,,,
Esra Bezen Bilgin,57cgKA4DFRHZCk3ahR2Agb,Esra,864.0,30.0,arabesk
Esra Bilgiç,09K7gI0DjPvoIcJgtuiBid,Esra Bilgiç,103.0,10.0,
Ete Kurttekin,1dh0HzfG4SR3M8uMU0AR3w,Ete Kurttekin,2434.0,4.0,
Ethereal Travel,4ghs4h0mFeO5ga5JxsMlAM,Ethereal Travellers,0.0,0.0,
Etna Özbek,,,,,
Exitpink,3yQdCs7QLp2g2pG8Ug5LVZ,exitpink,164.0,0.0,"glitch, experimental"
Exposed,4lvcviLEfDUJzLgHPIVvPo,Exposed,39.0,0.0,
Ezgi Eyüboğlu,6kjMT9B9HENP9YDIYXrzpa,Ezgi Eyüboğlu,38831.0,23.0,karadeniz folk
Ezgi Şenler,,,,,
Fadik Sevin Atasoy,,,,,
Fae Kin,51ZWlg1sKq5mt2UsBiEhMy,Fae King,14.0,0.0,
Fatih Al,5p1iOOcJx2ty8t8CMZvxVQ,Fatih Al,5.0,0.0,
Fatih Artman,,,,,
Feride Çiçekoğlu,,,,,
Fibroblastom,,,,,
Filiz Akın,,,,,
Frekans,3uRXZnyn3kzB7CWKW3ntCu,Yunus Emre & Frekans,18405.0,12.0,turkish hip hop
Frozen,0M3LK8CPC8luVRntRVHwAp,Frozen Clouds,4457.0,23.0,
Füsun Demirel,,,,,
Gafur Uzuner,,,,,
Gizem Erdem,,,,,
Gizem Kızıl,,,,,
Grazadh,,,,,
Grup Badin,,,,,
Grup Kibele,6E3O3Dlmn7ljk8Y8ARclW2,Grup Kibele,769.0,3.0,karadeniz folk
Gökhan Atalay,2V0TfXsDpUhmQkxWAirUrx,Gökhan Atalay,51.0,0.0,
Gökhan Azlağ,,,,,
Gökhan Yıkılkan,1a9KqH95ecBtcg0HywDZtW,Gökhan Yıkılkan,77.0,8.0,
Görkem Han Jr,27j4DSEok85hfY0WWhO0K7,Görkem Han Jr.,2409.0,2.0,
Görkem Kasal,,,,,
Gözde Kural,,,,,
Gülsün Karamustafa,,,,,
Gülşah Çomoğlu,,,,,
Gün Yüksel,5dWUd71JcmuBSrop9lNYtg,Gün Yüksel,33.0,0.0,anatolian rock
Günay Yetiz,2FvV257nUmFTMRhcglfmRk,Günay Yetiz,34.0,0.0,
Gürcan Yurt,,,,,
Gürhan Altundaşar,,,,,
Gürkan Demirez,6S8uxYsnJHUZ9cR9wMq5Vk,Gürkan Demirez,16488.0,35.0,"oyun havasi, arabesk"
Gürkan Korkmaz,,,,,
Gürol Güngör,,,,,
Hacer Buluş,2XUuN5Tk273BlfZ1jSlucb,Hacer Buluş,216.0,0.0,
Hakan Aytekin,,,,,
Hakan Burak Bozdoğan,,,,,
Hakan Coşar,,,,,
Hakan Evrensel,,,,,
Hakan Salınmış,,,,,
Hakan Tanfer,,,,,
Hakan Vanlı,,,,,
Haki Biçici,,,,,
Haldun Boysan,,,,,
Haluk Tolga İlhan,1iU48JCnwVjRvlP2ShEBmP,Haluk Tolga İlhan,13003.0,32.0,"arabesk, karadeniz folk"
Haluk Özenç,,,,,
Handan İpekçi,,,,,
Hande Dalkiliç,3aeD5I2n5f6CsoJnRGHSTL,Hande Dalkılıç,686.0,2.0,
Hande Dalkılıç,3aeD5I2n5f6CsoJnRGHSTL,Hande Dalkılıç,686.0,2.0,
Hande Doğandemir,,,,,
